TF	binding_mass	weighted_mass	n_targets	log2_weight_change	top_cluster	top_organ	atlas_informed	symbol
AT1G79180	732.5	651.7829	1465	-0.1682	silique_4	silique	True	ATMYB63
AT1G79580	1926.2735	1651.9691	3619	-0.2215		(not in atlas set)	False	ANAC033
AT1G80840	187.0	168.5431	374	-0.1491	stem_0	stem	True	ATWRKY40
AT2G01060	1263.0	1168.0487	2526	-0.1127		(not in atlas set)	False	
AT2G01818	428.5	376.3128	857	-0.1869		(not in atlas set)	False	
AT2G01930	1902.1503	1742.2095	3715	-0.1266		(not in atlas set)	False	ATBPC1
AT2G01940	1564.4345	1419.2322	3022	-0.1404		(not in atlas set)	False	ATIDD15
AT2G02070	1367.0	1246.8068	2734	-0.1327		(not in atlas set)	False	AtIDD5
AT2G02080	1434.5	1306.3855	2869	-0.1349		(not in atlas set)	False	AtIDD4
AT2G02540	1753.8542	1551.132	3497	-0.1771		(not in atlas set)	False	ATHB21
AT2G02820	2263.8942	2048.3296	4395	-0.1443		(not in atlas set)	False	AtMYB88
AT2G03340	434.5	387.7781	869	-0.1637		(not in atlas set)	False	WRKY3
AT2G03500	1381.1647	1252.8865	2758	-0.1405		(not in atlas set)	False	
AT2G04038	1354.2033	1235.2542	2708	-0.1325		(not in atlas set)	False	AtbZIP48
AT2G06200	873.0	797.6873	1746	-0.13		(not in atlas set)	False	AtGRF6
AT2G15660	234.5	207.7928	469	-0.1737	silique_23	silique	True	AGL95
AT2G15740	1254.5	1179.1493	2509	-0.0893		(not in atlas set)	False	
AT2G17410	158.5	142.4957	317	-0.1525		(not in atlas set)	False	
AT2G17900	73.5	64.7771	147	-0.1797		(not in atlas set)	False	ASHR1
AT2G17950	488.1605	439.7522	978	-0.1503		(not in atlas set)	False	PGA6
AT2G18060	1424.5	1214.8061	2849	-0.2296		(not in atlas set)	False	ANAC037
AT2G18160	1471.7034	1342.4056	2961	-0.1326		(not in atlas set)	False	ATBZIP2
AT2G18350	1747.2743	1529.8515	3464	-0.1916		(not in atlas set)	False	AtHB24
AT2G18380	1656.9467	1541.8947	3317	-0.1038		(not in atlas set)	False	GATA20
AT2G20110	1901.1262	1697.2567	3616	-0.1636		(not in atlas set)	False	
AT2G20400	1245.4364	1126.6286	2496	-0.1445		(not in atlas set)	False	
AT2G21900	70.5	65.2713	141	-0.1096	silique_14	silique	True	ATWRKY59
AT2G22430	1401.6031	1253.2968	2771	-0.1612		(not in atlas set)	False	ATHB6
AT2G22540	1933.6014	1745.2349	3865	-0.1478		(not in atlas set)	False	AGL22
AT2G23290	1397.0	1254.681	2794	-0.1549		(not in atlas set)	False	AtMYB70
AT2G23320	2062.7015	1848.4611	3915	-0.1581		(not in atlas set)	False	AtWRKY15
AT2G23340	1607.376	1455.6976	3188	-0.1429		(not in atlas set)	False	DEAR3
AT2G24430	1495.9924	1268.0016	2982	-0.2384	seedling_9d_14	seedling_9d	True	ANAC038
AT2G24570	167.1428	151.938	340	-0.1367		(not in atlas set)	False	ATWRKY17
AT2G26960	963.5844	869.7951	1922	-0.1476		(not in atlas set)	False	AtMYB81
AT2G28810	1967.3513	1805.6165	3816	-0.1237	seed_425d_15	seed_425d	True	
AT2G28920	472.5	417.2957	945	-0.1788		(not in atlas set)	False	
AT2G30250	1885.075	1681.0937	3699	-0.1651		(not in atlas set)	False	ATWRKY25
AT2G30340	1190.781	1084.6682	2393	-0.1345		(not in atlas set)	False	LBD13
AT2G30590	233.0	209.5669	466	-0.1522		(not in atlas set)	False	WRKY21
AT2G31230	1711.0	1571.9292	3422	-0.1222		(not in atlas set)	False	ATERF15
AT2G31460	51.0	43.1446	102	-0.2363		(not in atlas set)	False	
AT2G32460	1302.4404	1181.2059	2616	-0.1408	stem_15	stem	True	ATM1
AT2G33550	1118.3888	1022.1556	2248	-0.1297		(not in atlas set)	False	
AT2G33710	1773.0	1639.0125	3546	-0.1133		(not in atlas set)	False	
AT2G33810	276.4652	243.9095	565	-0.1801		(not in atlas set)	False	SPL3
AT2G35530	1724.8431	1569.9319	3430	-0.1357		(not in atlas set)	False	AtbZIP16
AT2G35700	1630.0	1491.8316	3260	-0.1277		(not in atlas set)	False	ATERF38
AT2G36270	1772.8009	1611.8525	3561	-0.1372		(not in atlas set)	False	ABI5
