kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
2way	4	-0.6	0.343			AT5G07100	-0.0	0.009	0.011	0.002	1.0
2way	4	-0.6	0.343			AT5G07680	-0.0	0.0	0.0	0.0	1.0
2way	4	-0.6	0.343			AT5G08070	-0.0	0.0	0.0	0.0	1.0
2way	4	-0.6	0.343			AT5G08330	-0.0	0.044	0.043	-0.001	1.0
2way	4	-0.6	0.343			AT5G10030	-0.0	0.088	0.085	-0.003	1.0
2way	4	-0.6	0.343			AT5G10140	-0.0	0.009	0.0	-0.009	1.0
2way	4	-0.6	0.343			AT5G10510	-0.0	0.0	0.0	0.0	1.0
2way	4	-0.6	0.343			AT5G14340	-0.0	0.009	0.0	-0.009	1.0
2way	4	-0.6	0.343			AT5G16600	-0.0	0.0	0.0	0.0	1.0
2way	4	-0.6	0.343			AT5G25390	-0.0	0.009	0.011	0.002	1.0
2way	4	-0.6	0.343			AT5G25475	-0.0	0.0	0.0	0.0	1.0
2way	4	-0.6	0.343			AT5G26170	-0.0	0.088	0.085	-0.003	1.0
2way	4	-0.6	0.343			AT5G38800	-0.0	0.0	0.0	0.0	1.0
2way	4	-0.6	0.343			AT5G38860	-0.0	0.0	0.0	0.0	1.0
2way	4	-0.6	0.343			AT5G39820	-0.0	0.009	0.011	0.002	1.0
2way	4	-0.6	0.343			AT5G40330	-0.0	0.0	0.0	0.0	1.0
2way	4	-0.6	0.343			AT5G42820	-0.0	0.0	0.0	0.0	1.0
2way	4	-0.6	0.343			AT5G43840	-0.0	0.018	0.011	-0.007	1.0
2way	4	-0.6	0.343			AT5G44160	-0.0	0.018	0.021	0.004	1.0
2way	4	-0.6	0.343			AT5G46350	-0.0	0.053	0.053	0.001	1.0
2way	4	-0.6	0.343			AT5G47660	-0.0	0.096	0.096	-0.001	1.0
2way	4	-0.6	0.343			AT5G48670	-0.0	0.0	0.0	0.0	1.0
2way	4	-0.6	0.343			AT5G49300	-0.0	0.0	0.0	0.0	1.0
2way	4	-0.6	0.343			AT5G50570	-0.0	0.009	0.0	-0.009	1.0
2way	4	-0.6	0.343			AT5G52170	-0.0	0.0	0.0	0.0	1.0
2way	4	-0.6	0.343			AT5G54230	-0.0	0.079	0.085	0.006	1.0
2way	4	-0.6	0.343			AT5G56930	-0.0	0.0	0.0	0.0	1.0
2way	4	-0.6	0.343			AT5G58620	-0.0	0.0	0.0	0.0	1.0
2way	4	-0.6	0.343			AT5G58900	-0.0	0.114	0.106	-0.008	1.0
2way	4	-0.6	0.343			AT5G60130	-0.0	0.079	0.085	0.006	1.0
2way	4	-0.6	0.343			AT5G61270	-0.0	0.009	0.0	-0.009	1.0
2way	4	-0.6	0.343			AT5G61600	-0.0	0.035	0.043	0.007	1.0
2way	4	-0.6	0.343			AT5G62165	-0.0	0.009	0.0	-0.009	1.0
2way	4	-0.6	0.343			AT5G62380	-0.0	0.044	0.053	0.009	1.0
2way	4	-0.6	0.343			AT5G62940	-0.0	0.114	0.106	-0.008	1.0
2way	4	-0.6	0.343			AT5G64060	-0.0	0.035	0.043	0.007	1.0
2way	4	-0.6	0.343			AT5G64750	-0.0	0.14	0.138	-0.002	1.0
