kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
path	8	0.465	0.342	0.497	0.28	AT1G18330	16.0	17.0	1.0	5.0	0.04
path	8	0.465	0.342	0.497	0.28	AT4G16750	20.46	22.0	1.54	5.6	0.041
path	8	0.465	0.342	0.497	0.28	AT1G28160	13.62	15.0	1.38	4.6	0.044
path	8	0.465	0.342	0.497	0.28	AT3G24520	23.64	25.0	1.36	5.8	0.045
path	8	0.465	0.342	1.81	0.981	AT1G27730	15.07	16.0	0.93	4.0	0.045
path	8	0.465	0.342	0.497	0.28	AT2G45420	18.71	20.0	1.29	5.2	0.047
path	8	0.465	0.342	1.81	0.981	AT1G52150	16.82	18.0	1.18	4.2	0.047
path	8	0.465	0.342	1.81	0.981	AT1G02230	35.44	37.0	1.56	5.8	0.048
path	8	0.465	0.342	1.81	0.981	AT1G70920	18.78	20.0	1.22	4.4	0.048
path	8	0.465	0.342	1.81	0.981	AT5G66730	20.66	22.0	1.34	4.6	0.048
path	8	0.465	0.342	0.497	0.28	AT1G04880	11.47	12.0	0.53	4.0	0.051
path	8	0.465	0.342	1.81	0.981	AT1G34180	33.22	35.0	1.78	5.6	0.051
path	8	0.465	0.342	0.497	0.28	AT1G71450	25.01	27.0	1.99	5.8	0.052
path	8	0.465	0.342	0.497	0.28	AT1G32150	21.13	23.0	1.87	5.4	0.053
path	8	0.465	0.342	0.497	0.28	AT2G28920	8.64	9.0	0.36	3.4	0.054
path	8	0.465	0.342	1.81	0.981	AT3G60580	10.22	11.0	0.78	3.2	0.054
path	8	0.465	0.342	1.81	0.981	AT3G10480	29.26	31.0	1.74	5.2	0.055
path	8	0.465	0.342	0.497	0.28	AT2G36270	23.19	25.0	1.81	5.4	0.06
path	8	0.465	0.342	0.497	0.28	AT3G04030	14.82	16.0	1.18	4.4	0.061
path	8	0.465	0.342	0.497	0.28	AT4G36780	19.45	21.0	1.55	5.0	0.061
path	8	0.465	0.342	1.81	0.981	AT3G12130	23.88	25.0	1.12	4.6	0.062
path	8	0.465	0.342	1.81	0.981	AT1G24250	14.17	15.0	0.83	3.6	0.063
path	8	0.465	0.342	1.81	0.981	AT3G49530	32.55	34.0	1.45	5.2	0.064
path	8	0.465	0.342	0.497	0.28	AT2G18350	18.99	20.0	1.01	4.8	0.065
path	8	0.465	0.342	0.497	0.28	AT2G42430	13.99	15.0	1.01	4.2	0.065
path	8	0.465	0.342	1.81	0.981	AT3G52440	36.96	39.0	2.04	5.4	0.068
path	8	0.465	0.342	1.81	0.981	AT4G17980	37.1	39.0	1.9	5.4	0.068
path	8	0.465	0.342	0.497	0.28	AT3G26620	13.36	14.0	0.64	4.0	0.069
path	8	0.465	0.342	0.497	0.28	AT5G52660	17.95	19.0	1.05	4.6	0.07
path	8	0.465	0.342	0.497	0.28	AT4G01680	12.19	13.0	0.81	3.8	0.073
path	8	0.465	0.342	1.81	0.981	AT1G68320	26.61	28.0	1.39	4.6	0.074
path	8	0.465	0.342	0.497	0.28	AT1G22810	16.83	18.0	1.17	4.4	0.075
path	8	0.465	0.342	0.497	0.28	AT1G69010	20.43	22.0	1.57	4.8	0.075
path	8	0.465	0.342	0.497	0.28	AT2G32460	17.03	18.0	0.97	4.4	0.075
path	8	0.465	0.342	1.81	0.981	AT4G01500	4.64	5.0	0.36	2.0	0.076
path	8	0.465	0.342	1.81	0.981	AT4G01720	4.75	5.0	0.25	2.0	0.076
path	8	0.465	0.342	1.81	0.981	AT5G47230	4.47	5.0	0.53	2.0	0.076
path	8	0.465	0.342	0.497	0.28	AT5G66300	11.37	12.0	0.63	3.6	0.077
path	8	0.465	0.342	0.497	0.28	AT4G37180	10.04	11.0	0.96	3.4	0.082
path	8	0.465	0.342	1.81	0.981	AT1G69180	18.57	20.0	1.43	3.8	0.085
path	8	0.465	0.342	1.81	0.981	AT3G45610	29.15	31.0	1.85	4.6	0.085
path	8	0.465	0.342	1.81	0.981	AT5G13180	29.26	31.0	1.74	4.6	0.085
path	8	0.465	0.342	1.81	0.981	AT5G46590	15.33	16.0	0.67	3.4	0.088
path	8	0.465	0.342	0.497	0.28	AT4G32730	20.94	23.0	2.06	4.6	0.091
path	8	0.465	0.342	0.497	0.28	AT2G46680	14.12	15.0	0.88	3.8	0.092
path	8	0.465	0.342	0.497	0.28	AT1G43700	4.7	5.0	0.3	2.2	0.094
path	8	0.465	0.342	0.497	0.28	AT1G44830	4.49	5.0	0.51	2.2	0.094
path	8	0.465	0.342	1.81	0.981	AT1G25340	25.77	27.0	1.23	4.2	0.094
