kind	split	from_time	from_value	to_time	to_value	TF	coeff	avg_branch	avg_other	diff	score
2way	0	0.0	1.065			AT4G25490	-0.37	0.057	0.068	0.01	0.597
2way	0	0.0	1.065			AT1G12610	0.0	0.026	0.034	0.007	0.599
2way	0	0.0	1.065			AT3G17730	0.0	0.035	0.044	0.009	0.603
2way	0	0.0	1.065			AT4G25480	0.0	0.059	0.068	0.01	0.605
2way	0	0.0	1.065			AT2G21900	0.0	0.005	0.002	-0.003	0.606
2way	0	0.0	1.065			AT4G34410	1.321	0.074	0.065	-0.009	0.609
2way	0	0.0	1.065			AT3G30530	0.0	0.003	0.007	0.004	0.611
2way	0	0.0	1.065			AT1G44830	0.486	0.051	0.045	-0.006	0.616
2way	0	0.0	1.065			AT2G26960	0.0	0.028	0.035	0.007	0.616
2way	0	0.0	1.065			AT5G22990	0.0	0.085	0.075	-0.01	0.616
2way	0	0.0	1.065			AT3G47500	0.359	0.123	0.113	-0.01	0.617
2way	0	0.0	1.065			AT4G18890	0.0	0.007	0.012	0.004	0.621
2way	0	0.0	1.065			AT1G69490	0.0	0.049	0.057	0.009	0.624
2way	0	0.0	1.065			AT5G18560	0.0	0.032	0.039	0.007	0.626
2way	0	0.0	1.065			AT3G11440	-1.387	0.049	0.058	0.008	0.629
2way	0	0.0	1.065			AT5G25190	0.021	0.196	0.185	-0.011	0.631
2way	0	0.0	1.065			AT5G10140	0.0	0.004	0.006	0.002	0.632
2way	0	0.0	1.065			AT3G01470	0.0	0.01	0.014	0.004	0.635
2way	0	0.0	1.065			AT2G46590	-0.102	0.051	0.059	0.008	0.642
2way	0	0.0	1.065			AT3G47600	0.0	0.005	0.007	0.003	0.643
2way	0	0.0	1.065			AT5G60850	0.0	0.056	0.064	0.008	0.645
2way	0	0.0	1.065			AT2G38090	0.0	0.001	0.003	0.002	0.647
2way	0	0.0	1.065			AT4G37790	0.0	0.0	0.002	0.001	0.647
2way	0	0.0	1.065			AT5G16600	0.0	0.0	0.001	0.001	0.647
2way	0	0.0	1.065			AT5G42820	0.0	0.001	0.002	0.001	0.647
