accession	factor	level	n_treated	n_control	gene_set	n_set_genes_measured	n_set_genes_total	mean_rank	z	p_empirical
OSD-782	absorbed radiation dose	100 {centigray}	12	12	phase_early	358	400	0.7391	15.9	0.0005
OSD-782	absorbed radiation dose	100 {centigray}	12	12	phase_late	298	400	0.6001	6.096	0.0005
OSD-782	absorbed radiation dose	100 {centigray}	12	12	phase_mid	347	400	0.3823	-7.744	0.0005
OSD-782	absorbed radiation dose	100 {centigray}	12	12	sog1_dependent	145	160	0.6227	5.227	0.0005
OSD-782	absorbed radiation dose	100 {centigray}	12	12	sog1_independent	115	132	0.6572	5.932	0.0005
OSD-782	ionizing radiation	cesium-137 gamma radiation	24	12	ddr_core	10	11	0.7229	2.385	0.01899
OSD-782	ionizing radiation	cesium-137 gamma radiation	24	12	myb3r_repressed	244	283	0.3005	-10.584	0.0005
OSD-782	ionizing radiation	cesium-137 gamma radiation	24	12	phase_early	358	400	0.7237	14.53	0.0005
OSD-782	ionizing radiation	cesium-137 gamma radiation	24	12	phase_late	298	400	0.5916	5.579	0.0005
OSD-782	ionizing radiation	cesium-137 gamma radiation	24	12	phase_mid	347	400	0.379	-7.741	0.0005
OSD-782	ionizing radiation	cesium-137 gamma radiation	24	12	sog1_dependent	145	160	0.5628	2.632	0.01199
OSD-782	ionizing radiation	cesium-137 gamma radiation	24	12	sog1_independent	115	132	0.6445	5.415	0.0005
