accession,sample_name,cohort,cohort_name,role,genotype,arm,time_minutes,time_days,dose,radiation,spaceflight,altered_gravity,organism_part
OSD-218,SAMN06465163,B,spaceflight_development,core,WS,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
OSD-218,SAMN06465165,B,spaceflight_development,core,WS,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
OSD-218,SAMN06465168,B,spaceflight_development,core,WS,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
OSD-218,SAMN06465170,B,spaceflight_development,core,WS,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
OSD-218,SAMN06465172,B,spaceflight_development,core,WS,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
OSD-218,SAMN06465174,B,spaceflight_development,core,WS,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
OSD-218,SAMN06465177,B,spaceflight_development,core,WS,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
OSD-218,SAMN06465179,B,spaceflight_development,core,Col-0,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
OSD-218,SAMN06465181,B,spaceflight_development,core,Col-0,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
OSD-218,SAMN06465183,B,spaceflight_development,core,Col-0,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
OSD-218,SAMN06465187,B,spaceflight_development,core,Col-0,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
OSD-218,SAMN06465190,B,spaceflight_development,core,Col-0,treated,5760,4,NaN,NaN,Space Flight,NaN,NaN
OSD-218,SAMN06465194,B,spaceflight_development,core,Col-0,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
OSD-218,SAMN06465197,B,spaceflight_development,core,Col-0,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
OSD-218,SAMN06465201,B,spaceflight_development,core,Col-0,control,5760,4,NaN,NaN,Ground Control,NaN,NaN
OSD-218,SAMN06465267,B,spaceflight_development,core,WS,treated,11520,8,NaN,NaN,Space Flight,NaN,NaN
