TF	name	n_missions	flight_mean_z	sign_consistency	flight_t	flight_p	radiation_mean_z	flight_vs_radiation_t	flight_vs_radiation_p	flight_q	flight_vs_radiation_q
AT5G65310		14	0.8408	0.714	0.985	0.3424165185767488	-0.5331	0.907	0.37702600919029594	0.7853996218323119	0.5763164633369189
AT4G28110		14	-0.2863	0.571	-0.985	0.34273269327387923	-0.2822	-0.01	0.9924454591243106	0.7853996218323119	0.9945436524839814
AT5G08070		14	0.4102	0.643	0.982	0.3437908986998659	-0.2477	1.214	0.23747232816435349	0.7853996218323119	0.4449912803773482
AT4G25480		14	0.5841	0.714	0.977	0.34657579831306096	4.3032	-3.188	0.006024597892120935	0.7853996218323119	0.05099391787259506
AT1G12260		14	0.6507	0.714	0.975	0.3475172043390763	2.3791	-1.793	0.08736132677756088	0.7853996218323119	0.24358393466214034
AT1G22810		14	0.8156	0.571	0.974	0.34780912783268125	1.4305	-0.544	0.5919431616699534	0.7853996218323119	0.7750857973247457
AT4G18450		14	0.2189	0.643	0.967	0.35110440785250396	-0.9759	1.607	0.13680254925200008	0.7853996218323119	0.31663775064868355
AT1G52880		14	1.247	0.643	0.967	0.3512219415175498	5.6113	-2.454	0.022657038542792007	0.7853996218323119	0.10326381028157126
AT2G23340		14	0.7578	0.5	0.965	0.3520929669386271	1.2301	-0.428	0.6728754976349054	0.7853996218323119	0.8327493103888907
AT5G14960		14	-0.8606	0.571	-0.962	0.3533883761051627	-2.0712	0.627	0.5409092686752459	0.7853996218323119	0.7276802940580035
AT2G43000		14	0.4828	0.714	0.96	0.3545897026837864	1.0626	-0.9	0.37813168797000374	0.7853996218323119	0.5763164633369189
AT1G44830		14	0.5373	0.571	0.949	0.36004166858648956	0.4024	0.183	0.8562345724219979	0.7931083405516973	0.9223981530182431
AT1G72010		14	0.4345	0.429	0.944	0.36234930404314525	0.1656	0.301	0.7673234489717898	0.7931083405516973	0.8764128067774177
AT1G25340		14	0.2391	0.714	0.939	0.36486587814510407	0.1887	0.14	0.8903580219977175	0.7931083405516973	0.9378437831709291
AT5G52170		14	0.2496	0.5	0.934	0.3673790667995924	0.0786	0.429	0.6723889775441382	0.7931083405516973	0.8327493103888907
AT3G28910		14	-0.384	0.643	-0.933	0.36766260364537406	-1.0372	1.077	0.29390171358349787	0.7931083405516973	0.5082061837762647
AT2G45650		14	0.2545	0.5	0.929	0.37004026590135364	0.1875	0.124	0.9030667595402204	0.7931083405516973	0.947021336332001
AT5G66300		14	0.5703	0.643	0.924	0.3723503581921964	1.7607	-1.345	0.19284655382639385	0.7931083405516973	0.3880054181987476
AT5G13180		14	0.8138	0.786	0.921	0.3737216704651438	3.0862	-1.842	0.0792871477379727	0.7931083405516973	0.22891491228872296
AT4G01680		14	-0.5021	0.5	-0.919	0.3747021560282515	-1.4119	1.067	0.29903624325063594	0.7931083405516973	0.5098675514417318
AT4G29230		14	0.3532	0.643	0.916	0.37635312486892114	4.9765	-4.171	0.0014197749568583304	0.7931083405516973	0.021030416548464017
AT1G65620		14	0.1904	0.571	0.916	0.37647547810998294	-0.0735	0.791	0.4388469917404959	0.7931083405516973	0.6480170532242837
AT2G33810		14	-0.2805	0.571	-0.896	0.3867109506335352	0.3552	-1.229	0.23473113978726626	0.809602026013975	0.4449912803773482
AT2G20400		14	0.5043	0.643	0.894	0.3877208014877054	1.1046	-0.647	0.5256205467027217	0.809602026013975	0.7218311906061284
AT1G08010		14	1.2359	0.571	0.885	0.3924803035316574	1.5556	-0.155	0.8784088603875714	0.8134508689121568	0.9365043074094866
AT5G62000		14	-0.2357	0.643	-0.872	0.3988160838348558	-1.0739	1.803	0.08878632545268125	0.8134508689121568	0.24507378289084622
AT1G17950		14	0.2307	0.786	0.871	0.39933514025466355	-0.5328	2.517	0.020668102530208787	0.8134508689121568	0.10099670720947386
AT5G67000		14	0.1982	0.643	0.869	0.4006792063385266	-0.3	1.673	0.10850207461181226	0.8134508689121568	0.27502664901603746
AT1G01720		14	1.0401	0.571	0.869	0.4008491334637042	4.4705	-2.169	0.04119976967240076	0.8134508689121568	0.15138520019161208
AT1G26960		14	0.591	0.714	0.868	0.40116434454101246	0.848	-0.235	0.8165695712678388	0.8134508689121568	0.9022237221001296
AT3G51080		14	0.5123	0.571	0.857	0.40710193745577294	-0.7062	1.378	0.18313753086122117	0.8134508689121568	0.37176932928571516
AT5G22890		14	0.2891	0.571	0.856	0.40743469814259803	-0.0119	0.703	0.4894328614738408	0.8134508689121568	0.6966701992150166
AT5G67300		14	-0.1705	0.714	-0.855	0.4079844815348277	-0.6494	1.347	0.19609420504958414	0.8134508689121568	0.39218841009916827
AT3G12250		14	0.8615	0.714	0.854	0.4085789366303133	2.1229	-1.01	0.3238269139896972	0.8134508689121568	0.5321051669863275
AT1G19790		14	0.2439	0.571	0.852	0.4094253647454127	-0.5885	2.19	0.03946852170208336	0.8134508689121568	0.14730771091958672
AT1G79580		14	0.6657	0.786	0.848	0.411631569751587	2.3537	-1.682	0.1067293328589211	0.8134508689121568	0.27494404225613367
AT4G37260		14	-0.2853	0.714	-0.848	0.41187385767704143	-0.9237	0.937	0.3640344362502351	0.8134508689121568	0.5607755526548286
AT3G30530		14	-0.2685	0.571	-0.843	0.41464181032440073	-0.563	0.656	0.5189438237916069	0.8155195771525559	0.7172328879371783
AT3G57600		14	0.2614	0.571	0.826	0.4235614890571997	-1.2835	2.984	0.007810256154120957	0.8270942172347711	0.05695479103158975
AT1G71696		14	-0.3371	0.571	-0.825	0.4240901564548618	-1.8391	2.776	0.01102022968510361	0.8270942172347711	0.06748542296465161
AT2G18060		14	0.6777	0.714	0.818	0.4279259173693315	2.8634	-1.921	0.06799567036796192	0.8270942172347711	0.20784504025140807
AT1G49010		14	1.0541	0.571	0.818	0.42835178687348807	-0.0527	0.685	0.5004909418111307	0.8270942172347711	0.7081573325924656
AT4G36160		14	0.7065	0.786	0.816	0.4292514291977926	3.1524	-2.058	0.05185382382042103	0.8270942172347711	0.1743171098643941
AT3G58630		14	0.3613	0.643	0.812	0.4312544393410096	-0.5507	1.764	0.09283133427002482	0.8275894908811278	0.2495745940141144
AT2G17900		14	0.2611	0.571	0.8	0.43805661852678435	-0.629	1.501	0.15234931423831324	0.8288904923206344	0.33810050235768085
AT3G03660		14	-0.1964	0.571	-0.799	0.4384806140222338	-0.1514	-0.151	0.8811833778578715	0.8288904923206344	0.9365043074094866
AT1G74650		14	-0.4591	0.643	-0.797	0.4396350814818082	-1.1349	0.874	0.3913898044630473	0.8288904923206344	0.5927117166628895
AT1G28470		14	0.5102	0.643	0.796	0.44046967627519773	3.5202	-2.923	0.008799706305324864	0.8288904923206344	0.06288931508201948
AT1G13300		14	0.2043	0.5	0.793	0.4422307917774735	0.3471	-0.35	0.729806637803822	0.8288904923206344	0.8583829933474235
AT5G62380		14	0.6124	0.643	0.792	0.44242467206143565	2.0382	-1.389	0.17877182918716122	0.8288904923206344	0.3690717937827443
AT1G02230		14	0.2995	0.5	0.785	0.4464327656334123	3.4748	-3.98	0.0013251628515910888	0.8326499745551081	0.02056116669057129
AT2G23320		14	-1.2659	0.571	-0.779	0.44987259635097854	6.6729	-3.624	0.0015137429141175455	0.8326499745551081	0.021742852766415653
AT5G67580		14	0.4233	0.714	0.777	0.45104649929178986	-1.3623	1.991	0.061694868635946316	0.8326499745551081	0.1923905771936747
AT1G74840		14	0.9701	0.571	0.774	0.4530086136990117	1.3654	-0.238	0.814178440601683	0.8326499745551081	0.9022237221001296
AT2G46680		14	0.405	0.714	0.773	0.45321454311227405	-0.0337	0.432	0.6716168347161633	0.8326499745551081	0.8327493103888907
AT1G76420		14	0.7054	0.786	0.766	0.4571114262976531	3.4181	-2.078	0.050068443117981115	0.8335020978235189	0.16951744312802178
AT5G46350		14	-1.0165	0.5	-0.766	0.457195243531888	4.2253	-2.782	0.011097836804897359	0.8335020978235189	0.06748542296465161
AT3G08500		14	-0.3261	0.429	-0.762	0.45944055976154297	-1.4185	1.682	0.1081195236724399	0.8343863039347561	0.27502664901603746
AT4G04450		14	0.4656	0.714	0.753	0.46462391390863655	3.4895	-3.382	0.0028313169714712172	0.8405791419568462	0.031096178277351148
AT5G61620		14	0.9738	0.571	0.748	0.46787447809921867	0.6174	0.209	0.8360520347761182	0.841012763248156	0.9110084241008737
AT5G47390		14	0.9735	0.571	0.745	0.46964317433675995	1.2349	-0.144	0.8865235775179062	0.841012763248156	0.9378437831709291
AT3G12720		14	-0.4069	0.357	-0.743	0.4705423100642342	-0.9886	0.757	0.45705021580617156	0.841012763248156	0.666590160898847
AT5G56840		14	0.9206	0.571	0.737	0.47416271683655065	0.9557	-0.019	0.9847012437334908	0.841012763248156	0.9909732261776532
AT3G60580		14	-0.4154	0.643	-0.737	0.4742412663612643	-1.6621	1.838	0.08012325641058357	0.841012763248156	0.22891491228872296
AT1G43700		14	0.582	0.429	0.735	0.47550932605591945	-0.2401	0.805	0.4293129067046655	0.841012763248156	0.6359197430562857
AT1G14687		14	0.491	0.714	0.722	0.482859898298061	0.1567	0.245	0.8098765819408689	0.8503826057881353	0.9022237221001296
AT4G01250		14	-1.1787	0.571	-0.72	0.48439515519577325	6.1446	-3.323	0.003104361504306544	0.8503826057881353	0.03269927451202893
AT1G08320		14	0.7009	0.714	0.71	0.49004354491791746	2.37	-1.385	0.18037632945966162	0.8557109155390826	0.37012285785229265
AT3G26790		14	0.2694	0.714	0.709	0.49104086292538074	-1.5116	2.912	0.009022095834551318	0.8557109155390826	0.06288931508201948
AT2G24430		14	0.686	0.714	0.699	0.4969861053010334	2.893	-1.621	0.11946401122844863	0.8628989520611349	0.2918862954756941
AT3G55370		14	0.5243	0.5	0.69	0.5022799640322946	-1.0521	1.605	0.12267595011930761	0.867321867441468	0.2951695449571158
AT4G38620		14	-0.156	0.5	-0.686	0.5044737734457891	-0.9637	1.582	0.13698744954300265	0.867321867441468	0.31663775064868355
AT3G44480		14	0.4728	0.571	0.685	0.5055920732354249	-1.0049	1.724	0.09900429334424242	0.867321867441468	0.26071130580650503
AT1G75390		14	-0.4748	0.5	-0.68	0.5084129714905454	0.604	-1.094	0.28611064753102056	0.867321867441468	0.506031518394417
AT2G39900		14	0.149	0.5	0.679	0.5091860824296461	-0.1075	0.629	0.537912700633082	0.867321867441468	0.7276802940580035
AT3G04060		14	0.5971	0.786	0.677	0.5105122384307375	3.0971	-1.951	0.0646662997710865	0.867321867441468	0.20033873262415033
AT4G31060		14	0.5467	0.5	0.66	0.5207417385753079	1.5829	-0.942	0.3563921292881421	0.8800270772608884	0.5561478428153681
AT1G02250		14	-0.2857	0.571	-0.659	0.5217038158445351	3.0008	-4.318	0.00046481357488049364	0.8800270772608884	0.009742045276550504
AT5G52830		14	-1.0552	0.571	-0.649	0.5275073116290161	7.2551	-3.681	0.001344717652758882	0.8866612259296228	0.02056116669057129
AT4G00250		14	0.8259	0.571	0.644	0.5306517130876742	0.1021	0.432	0.6696324127515061	0.8887665029420206	0.8327493103888907
AT3G25990		14	0.1053	0.571	0.641	0.5325709006232677	-0.9018	2.442	0.030453233615109713	0.8887665029420206	0.12662133976808776
AT5G08520		14	0.9802	0.571	0.631	0.5389175628190611	-0.1635	0.59	0.5613592619489086	0.8887665029420206	0.7453341461170383
AT5G08750		14	0.1866	0.5	0.629	0.5402574685552131	0.3451	-0.319	0.7533730365397957	0.8887665029420206	0.8667447070870464
AT5G38800		14	-0.2055	0.429	-0.628	0.5408176324174223	-0.4852	0.548	0.590027612137034	0.8887665029420206	0.7750857973247457
AT1G74370		14	0.1921	0.571	0.626	0.542421974249877	-0.5415	1.831	0.08066770460842788	0.8887665029420206	0.22891491228872296
AT1G76870		14	0.1691	0.571	0.62	0.5461317734597373	-0.4076	1.536	0.1390488856785759	0.8887665029420206	0.31840179619152165
AT5G58620		14	0.1658	0.571	0.619	0.5466995304481034	0.145	0.071	0.9440131968972729	0.8887665029420206	0.9730541176676484
AT4G23550		14	-0.8582	0.571	-0.615	0.5489680419583882	8.0829	-4.595	0.0001488277693426172	0.8887665029420206	0.005278852692999174
AT3G45170		14	0.305	0.571	0.609	0.553052274910933	0.8538	-0.811	0.42595285592923593	0.8887665029420206	0.6329205445468897
AT1G60920		14	-0.1711	0.571	-0.606	0.554875145569248	-0.0139	-0.364	0.7200320842747939	0.8887665029420206	0.855201505913107
AT2G17950		14	-0.1308	0.5	-0.606	0.55520784492525	0.3608	-1.452	0.16247933313916718	0.8887665029420206	0.35166759775326595
AT5G13790		14	0.2187	0.429	0.603	0.5570036277033943	1.2543	-1.492	0.1558741255696362	0.8887665029420206	0.3409093897873472
AT4G32730	MYB3R1	14	-0.3231	0.5	-0.603	0.5571592182628189	-3.7724	3.505	0.002886565072159178	0.8887665029420206	0.031096178277351148
AT5G09410		14	0.7434	0.429	0.598	0.5601636594156915	5.8137	-3.025	0.006257623317290362	0.8887665029420206	0.052037078112204066
AT5G08330		14	0.239	0.571	0.596	0.5613669207356848	0.0332	0.24	0.813870686582983	0.8887665029420206	0.9022237221001296
AT5G17300		14	0.3023	0.357	0.595	0.5619021503879424	2.7586	-2.533	0.022516228990385145	0.8887665029420206	0.10326381028157126
AT5G10030		14	0.5918	0.714	0.592	0.5638883221548321	2.3119	-1.402	0.17508205079239353	0.8887665029420206	0.36662345469116275
AT1G24250		14	-0.2917	0.643	-0.591	0.5648132833387807	-0.4789	0.289	0.7752794372883954	0.8887665029420206	0.8816664448340902
AT1G29280		14	-1.0091	0.5	-0.589	0.5662605145326798	6.2012	-3.086	0.005444737471951969	0.8887665029420206	0.04779269558713395
AT2G02820		14	0.1811	0.643	0.583	0.5697785203993279	-1.4321	1.908	0.08090870741465561	0.8899695145589066	0.22891491228872296
AT3G11280		14	0.5073	0.571	0.582	0.5707821359196363	0.1694	0.321	0.7512971841332086	0.8899695145589066	0.8664595262266201
AT5G25475		14	0.099	0.571	0.568	0.5796804175276002	-0.0277	0.515	0.6119871577882764	0.898294878792177	0.7896525016453265
AT5G16600		14	-0.1764	0.5	-0.554	0.5889635738305936	-0.7913	1.106	0.28411478306186155	0.898294878792177	0.5043835474581363
AT3G20770		14	-0.2182	0.571	-0.553	0.5893808946795104	-3.2223	4.6	0.00021783669022261111	0.898294878792177	0.006073799480324569
AT1G30650		14	-0.8833	0.571	-0.552	0.5900642240527658	6.9067	-3.505	0.0020520670360666686	0.898294878792177	0.025607029212496288
AT1G04880		14	0.2571	0.643	0.55	0.591548624382604	-0.2911	0.732	0.47300999850404757	0.898294878792177	0.6794143614876319
AT3G01530		14	-0.2262	0.571	-0.548	0.5931102117761815	-0.3603	0.197	0.8458851894293962	0.898294878792177	0.9154099995194835
AT1G45249		14	-0.648	0.714	-0.547	0.5937838566307806	-0.3512	-0.223	0.8257941202601335	0.898294878792177	0.9060796597298688
AT3G18990		14	0.2403	0.643	0.545	0.5952101938416356	0.9344	-0.859	0.4029989614047741	0.898294878792177	0.6083487506556143
AT1G65910		14	0.4156	0.714	0.541	0.5976734730655952	3.4906	-2.754	0.011968483163944022	0.898294878792177	0.07086420535989814
AT3G03200		14	0.4866	0.714	0.54	0.5986541300682435	3.4673	-2.338	0.02922164190986939	0.898294878792177	0.12478430869619903
AT3G47500		14	0.3709	0.643	0.539	0.5988805338344008	-1.2543	1.892	0.07182436721860302	0.898294878792177	0.2112061173685165
AT3G45150		14	-0.1513	0.643	-0.535	0.6016289763994431	-0.8189	1.653	0.11309161927439353	0.898294878792177	0.279194935083659
AT1G34190		14	0.3088	0.5	0.53	0.6050546033907271	-0.0745	0.516	0.6112761919265709	0.898294878792177	0.7896525016453265
AT4G27900		14	-0.1956	0.643	-0.529	0.605794833010301	-1.0309	1.587	0.12743719544830331	0.898294878792177	0.30507692243684736
AT3G10030		14	0.2877	0.643	0.526	0.6075980435166934	1.5325	-1.516	0.14492606151461565	0.898294878792177	0.3255684983788048
AT1G27730		14	-0.3567	0.786	-0.523	0.609890555001231	-2.5719	2.876	0.009656765387697767	0.898294878792177	0.06340184914494174
AT5G04390		14	-0.3019	0.786	-0.521	0.6108970427410882	-1.8232	1.991	0.05909693286773471	0.898294878792177	0.1880951644966401
AT4G37790		14	-0.1499	0.571	-0.514	0.6158812204615915	-0.1272	-0.06	0.9523264282462519	0.898294878792177	0.9770621796292714
AT5G18270		14	0.4844	0.714	0.51	0.6185807756419508	2.8254	-1.907	0.06969363272429792	0.898294878792177	0.20938419755881751
AT1G25580	SOG1	14	-0.268	0.5	-0.51	0.618863213849345	8.3446	-4.752	0.000650889338958053	0.898294878792177	0.012006032756377245
AT5G26170		14	-0.6641	0.571	-0.506	0.621236571318778	8.4232	-4.707	0.00012621177590396796	0.898294878792177	0.005278852692999174
AT5G46590		14	0.2466	0.5	0.506	0.6212860295742306	1.653	-1.7	0.10672867645889546	0.898294878792177	0.27494404225613367
AT4G22070		14	-0.4806	0.5	-0.5	0.6253234851891925	6.4335	-4.776	0.00011353762646146335	0.898294878792177	0.005278852692999174
AT2G18160		14	-0.6706	0.714	-0.5	0.6254648985060769	-0.7284	0.033	0.9739082692551824	0.898294878792177	0.9863942727071718
AT1G06850		14	0.4804	0.429	0.5	0.6255838783432046	-0.028	0.361	0.7216890345258287	0.898294878792177	0.855201505913107
AT2G35530		14	-0.7145	0.714	-0.497	0.6273593780746896	-1.3339	0.351	0.7289802768450956	0.898294878792177	0.8583829933474235
AT4G31550		14	-0.4983	0.429	-0.49	0.6322036107629287	4.3611	-3.583	0.0016644681100150918	0.898294878792177	0.022541653832775815
AT2G17410		14	0.0619	0.571	0.49	0.6326418694305845	-0.0528	0.659	0.5169141616333159	0.898294878792177	0.7172328879371783
AT1G72740		14	0.3653	0.643	0.489	0.6327917896053233	-1.0845	1.063	0.3030727536394364	0.898294878792177	0.5104849346839945
AT4G17980		14	0.3705	0.643	0.487	0.634511803971902	2.4218	-1.896	0.0717453381514553	0.898294878792177	0.2112061173685165
AT1G32510		14	0.1755	0.571	0.486	0.6348708531548086	-0.5209	1.217	0.2385437291441466	0.898294878792177	0.4449912803773482
AT2G35700		14	0.3913	0.643	0.482	0.6379675967332967	1.4685	-0.93	0.3629969743966953	0.8984520390989671	0.5607755526548286
AT1G19000		14	0.6471	0.571	0.481	0.6387728632412487	0.0013	0.378	0.7088550885904388	0.8984520390989671	0.8484780605855252
AT1G73730		14	0.2722	0.571	0.472	0.6450150756882862	1.6561	-1.106	0.28766549190692187	0.9040982585047077	0.5068901232858029
AT5G24110		14	-0.6993	0.429	-0.469	0.6466019190571644	5.8328	-3.102	0.00533329441920609	0.9040982585047077	0.04779269558713395
AT1G22070		14	0.1485	0.571	0.455	0.6565286959790356	0.5741	-0.829	0.41702207847201567	0.9141804164242109	0.6235598271158846
AT3G09230		14	0.1558	0.643	0.453	0.6576698776385146	-0.7472	2.178	0.040855330788068335	0.9141804164242109	0.15129239682456555
AT4G01540		14	0.2336	0.643	0.433	0.672365299571472	1.3611	-1.392	0.1790854695570278	0.9294519725645085	0.3690717937827443
AT1G51700		14	0.2545	0.571	0.428	0.6753442769264448	-1.3474	2.094	0.04800749284108489	0.9294519725645085	0.1648953014976394
AT1G80840		14	0.1875	0.714	0.426	0.6771142991387209	3.4446	-4.966	7.093426572150025e-05	0.9294519725645085	0.005278852692999174
AT1G72360		14	0.144	0.714	0.425	0.677886862156285	-0.9147	1.497	0.1560703324553889	0.9294519725645085	0.3409093897873472
AT2G45410		14	0.1241	0.5	0.424	0.6784607225892826	-0.2677	0.907	0.37500782041174197	0.9294519725645085	0.5752547148063615
AT5G65210		14	0.3832	0.5	0.419	0.6819460650504993	2.3081	-1.759	0.09319557624577689	0.9315343943341114	0.2495745940141144
AT5G07100		14	-0.2889	0.5	-0.412	0.6867994156592769	5.0013	-5.234	3.4845209229913325e-05	0.9340358305926983	0.005278852692999174
AT5G13080		14	-0.6983	0.5	-0.411	0.6877183647190965	7.7516	-3.736	0.0011509698051319964	0.9340358305926983	0.019484274558305936
AT3G53200		14	-0.1587	0.571	-0.399	0.6963553117621063	0.7159	-1.32	0.20322930670091913	0.9427020968409348	0.40305728609303626
AT5G06839		14	0.3928	0.5	0.397	0.6980768691796795	2.6049	-1.895	0.07216380270277514	0.9427020968409348	0.2112061173685165
AT2G42590		14	-0.1119	0.571	-0.387	0.7052057005410546	-1.0115	1.924	0.06979473251960584	0.9450564927565572	0.20938419755881751
AT1G64620		14	0.304	0.571	0.381	0.7092684835012886	-0.6628	0.953	0.35106349843084195	0.9450564927565572	0.5546803275207303
AT1G68320		14	-0.1041	0.5	-0.377	0.7119586526512736	0.4867	-1.405	0.1755649225036028	0.9450564927565572	0.36662345469116275
AT5G50570		14	0.1743	0.714	0.376	0.7131480414237483	0.9967	-1.045	0.3103252870888592	0.9450564927565572	0.5179372749299974
AT3G02150		14	0.1552	0.571	0.374	0.7142814440660524	-0.3176	0.992	0.3330235577773121	0.9450564927565572	0.5424507435960342
AT3G45610		14	0.2821	0.571	0.372	0.7159884531474117	-0.8563	1.238	0.2290793985311826	0.9450564927565572	0.43783723751524417
AT3G42860		14	-0.404	0.5	-0.372	0.7162405003081787	5.9045	-3.826	0.0010580048587916816	0.9450564927565572	0.018573863076565077
AT2G46590		14	0.2863	0.643	0.369	0.7177177856180847	-0.3469	0.629	0.5357570895473311	0.9450564927565572	0.7276471646001003
AT4G01550		14	0.1573	0.429	0.368	0.7184467829799754	2.257	-2.72	0.014860201855844343	0.9450564927565572	0.08096247907666917
AT1G74480		14	0.1054	0.5	0.367	0.7197582149475046	0.2412	-0.259	0.7986923486658162	0.9450564927565572	0.894988589285099
AT2G24570		14	-0.2943	0.571	-0.364	0.7217950850667405	1.2859	-1.459	0.1586717999185824	0.9451129014409806	0.3450019869789361
AT3G01970		14	-0.4949	0.571	-0.355	0.7281200599620605	8.325	-4.546	0.00016705230041136627	0.9507683427603766	0.005278852692999174
AT3G21890		14	0.2463	0.643	0.348	0.7334567228188142	-0.7181	1.078	0.29284537134809574	0.9546772874099639	0.5082061837762647
AT5G64060		14	0.2564	0.714	0.346	0.7351417930477571	4.3487	-3.977	0.0006585587587886252	0.9546772874099639	0.012006032756377245
AT2G40260		14	-0.1179	0.429	-0.337	0.7413479123991702	0.2727	-0.669	0.5118440055592086	0.9569599786227627	0.7172328879371783
AT1G29860		14	-0.4317	0.5	-0.336	0.7420331593932674	8.3879	-4.769	0.00010408668772975832	0.9569599786227627	0.005278852692999174
AT3G47620		14	-0.083	0.571	-0.331	0.7456432179834913	-0.4389	0.837	0.41352201981829595	0.9569599786227627	0.6202830297274439
AT1G76880		14	-0.0796	0.643	-0.328	0.7479360190509191	-1.0338	2.831	0.009850488649141528	0.9569599786227627	0.06340184914494174
AT4G24470		14	-0.0912	0.5	-0.324	0.751043750391081	-0.5265	1.213	0.2379588750808176	0.9569599786227627	0.4449912803773482
AT5G22500		14	0.1392	0.5	0.324	0.7513949655467362	0.3687	-0.334	0.7420712354784159	0.9569599786227627	0.8664595262266201
AT2G30590		14	-0.2809	0.5	-0.321	0.7530362432373849	3.3739	-3.204	0.004089508467112047	0.9569599786227627	0.04124312794491724
AT2G28810		14	0.2615	0.5	0.317	0.7562611678213199	-1.1615	1.409	0.17315817522854504	0.9569599786227627	0.36662345469116275
AT1G34180		14	0.2468	0.643	0.316	0.7571670688102623	2.3659	-2.041	0.05346967450858972	0.9569599786227627	0.1784832796976868
AT3G62420		14	-0.4554	0.571	-0.308	0.7628383389934636	-0.1872	-0.141	0.8887738572791142	0.9569599786227627	0.9378437831709291
AT3G12130		14	0.1626	0.643	0.306	0.7645761233404096	0.1724	-0.015	0.988287440631098	0.9569599786227627	0.99247509927784
AT2G41835		14	0.0588	0.571	0.305	0.7648565018767259	0.006	0.154	0.8797848263195626	0.9569599786227627	0.9365043074094866
AT5G60850		14	0.2356	0.5	0.305	0.7649029522072146	-0.7918	1.042	0.3085664800806923	0.9569599786227627	0.5168215956121843
AT5G58850		14	-0.1138	0.5	-0.301	0.7680318278448308	-1.6256	1.711	0.1107683477877797	0.9569599786227627	0.27633787816530303
AT1G01060		14	0.1772	0.429	0.301	0.7684441294883019	3.1422	-2.592	0.020188534249925505	0.9569599786227627	0.1007301603627862
AT5G63260		14	0.22	0.5	0.299	0.7696847801408375	-0.9037	1.135	0.2686082422161257	0.9569599786227627	0.4804539879639381
AT5G61270		14	0.0806	0.429	0.294	0.7736332469844127	-0.2409	0.766	0.45293186141006825	0.9569599786227627	0.6665867103372174
AT5G49300		14	0.0869	0.571	0.293	0.7739166022570758	0.1618	-0.201	0.8424322585855054	0.9569599786227627	0.9137594749874818
AT5G04410		14	0.2737	0.643	0.289	0.7768663460093137	3.4728	-2.407	0.025201437300897706	0.9569599786227627	0.11269321962854258
AT1G20980		14	0.1605	0.643	0.286	0.7790357315150251	1.3026	-1.403	0.17536198859216304	0.9569599786227627	0.36662345469116275
AT3G60490		14	-0.2919	0.5	-0.285	0.7803887273887521	2.0205	-1.552	0.13574067535139714	0.9569599786227627	0.31663775064868355
AT5G53950		14	0.1962	0.643	0.283	0.7813154255844076	2.6065	-2.337	0.029789701013270442	0.9569599786227627	0.12560104083530768
AT4G01720		14	0.1223	0.786	0.269	0.7921100191457335	2.3428	-2.888	0.009898178980433941	0.9676807965852519	0.06340184914494174
AT2G28920		14	0.1327	0.429	0.261	0.7984606267316647	2.2267	-2.079	0.05517291438203514	0.9707633886417439	0.18122991334334027
AT5G02460		14	0.2237	0.643	0.26	0.798729370401435	-1.7766	1.924	0.06783610760679486	0.9707633886417439	0.20784504025140807
AT5G39610		14	0.2209	0.643	0.255	0.8024515236443248	3.2909	-2.156	0.04461190898706129	0.9710504104226274	0.15663784284823126
AT3G57920		14	0.106	0.571	0.255	0.8030627866786285	0.0761	0.047	0.9631664769548927	0.9710504104226274	0.9818084087669229
AT1G13400		14	0.0656	0.571	0.25	0.8064044376917741	-1.0613	3.001	0.006790380484641851	0.9726099324832084	0.05263971804144956
AT3G17730		14	0.2031	0.643	0.24	0.8142168979152069	3.0813	-2.342	0.029200032513167832	0.9765160885127535	0.12478430869619903
AT4G18770		14	-0.1021	0.571	-0.236	0.8174494105917556	-1.1229	1.201	0.24801337875943932	0.9765160885127535	0.45214746743067014
AT2G38470		14	-0.2753	0.5	-0.229	0.8221644430996824	8.5855	-4.926	7.900569823218669e-05	0.9765160885127535	0.005278852692999174
AT1G01250		14	0.1178	0.5	0.225	0.825210555099112	1.002	-1.081	0.29289395301145177	0.9765160885127535	0.5082061837762647
AT3G09600		14	0.1409	0.357	0.225	0.8255635107678101	3.5627	-2.587	0.021365431020932312	0.9765160885127535	0.10235449851439744
AT5G42820		14	0.0655	0.571	0.223	0.8270142121667454	-0.3224	0.737	0.4714000937955828	0.9765160885127535	0.6791600135535144
AT5G41570		14	-0.36	0.5	-0.223	0.827372968010923	6.7378	-3.245	0.0037382949201202453	0.9765160885127535	0.038520691133412964
AT4G30080		14	-0.0768	0.643	-0.222	0.8280074920561094	1.4598	-3.017	0.006651082931243005	0.9765160885127535	0.052543555156819736
AT1G32240		14	-0.0978	0.429	-0.22	0.8295215998472176	0.0522	-0.263	0.7950133758688196	0.9765160885127535	0.894988589285099
AT3G10500		14	0.1907	0.571	0.206	0.8400963940872783	3.1454	-2.323	0.029942864165379255	0.9765160885127535	0.12560104083530768
AT5G56930		14	0.0593	0.429	0.205	0.8405258622586229	-0.0938	0.327	0.7473568790681342	0.9765160885127535	0.8664595262266201
AT2G47070		14	0.112	0.571	0.204	0.8415438660975163	1.5786	-1.769	0.09212477459570519	0.9765160885127535	0.24952653233351008
AT2G46400		14	0.0796	0.5	0.201	0.8438379652940267	1.6062	-2.999	0.006616628915608272	0.9765160885127535	0.052543555156819736
