TF	name	mean_coefficient	sd_across_folds	sign_stability
AT3G47500		-0.0102	0.0055	0.955
AT2G01940		-0.0102	0.0056	0.955
AT1G78700		-0.01	0.0028	1.0
AT1G34180		0.01	0.002	1.0
AT3G13040		-0.0097	0.0057	1.0
AT2G46590		-0.0096	0.003	1.0
AT2G28810		-0.0095	0.0034	1.0
AT5G63090		-0.0092	0.0043	0.955
AT5G13910		-0.0091	0.0038	0.955
AT3G24120		-0.0091	0.0049	1.0
AT5G38860		-0.0091	0.0035	1.0
AT5G18560		-0.0088	0.003	0.955
AT2G23290		0.0085	0.0044	0.955
AT3G15170		0.0084	0.0024	1.0
AT5G47390		0.0081	0.0029	0.955
AT3G57920		-0.0081	0.0037	1.0
AT1G09540		-0.0081	0.0027	0.955
AT4G17785		0.008	0.0028	0.955
AT3G18400		0.008	0.0019	1.0
AT1G74480		0.0079	0.0045	0.955
AT4G38000		-0.0078	0.0032	1.0
AT1G51220		-0.0077	0.0049	0.955
AT2G36270		-0.0077	0.0028	1.0
AT5G06839		0.0076	0.0025	1.0
AT3G46590		0.0076	0.006	0.909
AT2G20400		-0.0075	0.0032	0.955
AT3G56850		-0.0075	0.0025	1.0
AT2G01060		-0.0074	0.0063	0.955
AT1G34190		-0.0074	0.0038	1.0
AT1G08320		-0.0074	0.0036	0.909
AT5G58620		0.0073	0.0034	0.955
AT3G21890		-0.0073	0.0032	1.0
AT3G10500		0.0073	0.0026	1.0
AT5G05550		-0.0072	0.0027	1.0
AT3G28910		-0.0072	0.0042	0.909
AT1G49010		-0.0071	0.0027	1.0
AT5G66940		-0.0071	0.0034	1.0
AT3G44480		-0.007	0.0045	0.909
AT3G12130		0.007	0.0036	0.955
AT5G46590		0.0069	0.0042	0.955
AT2G35530		-0.0068	0.0031	1.0
AT2G04038		0.0067	0.0034	0.909
AT5G49300		0.0066	0.0057	0.818
AT1G72740		-0.0065	0.0057	0.909
AT3G23210		-0.0064	0.0027	1.0
AT5G46350		0.0063	0.0028	1.0
AT1G34670		0.0062	0.0023	1.0
AT5G61620		0.0062	0.0029	0.955
AT5G62940		-0.0061	0.0036	0.955
AT1G12260		0.0061	0.0018	1.0
AT5G59990		-0.0061	0.0039	0.955
AT5G18270		0.006	0.0023	0.955
AT2G45650		0.006	0.0052	0.909
AT1G69570		-0.0059	0.0047	0.909
AT5G15830		-0.0058	0.0034	0.955
AT1G79580		0.0057	0.003	1.0
AT1G53230		0.0057	0.0066	0.818
AT1G64620		-0.0054	0.0027	0.955
AT5G65510		0.0054	0.0053	0.864
AT5G56930		0.0054	0.0046	0.909
AT1G25340		-0.0054	0.0058	0.864
AT3G23220		-0.0051	0.005	0.909
AT1G26960		-0.005	0.002	1.0
AT5G45580		-0.0049	0.0049	0.818
AT1G72010		0.0049	0.0041	0.909
AT1G77640		0.0047	0.0034	0.909
AT5G52170		0.0045	0.0077	0.909
AT5G65210		0.0044	0.0026	1.0
AT5G39610		0.0044	0.0027	0.955
AT5G25390		-0.0044	0.0045	0.909
AT4G28110		0.0043	0.0042	0.864
AT5G39820		0.0043	0.0024	0.955
AT4G34590		0.0042	0.0026	0.955
AT1G74650		-0.0042	0.0032	0.955
AT5G66300		0.0042	0.0033	0.864
AT1G14580		-0.0042	0.0042	0.864
AT5G14960		0.0041	0.0072	0.909
AT2G33810		-0.0041	0.0042	0.864
AT5G45300		-0.004	0.0031	0.955
AT1G19000		0.0039	0.0029	0.864
AT2G21900		-0.0038	0.0068	0.773
AT3G12910		-0.0038	0.0065	0.818
AT2G39900		0.0038	0.0047	0.818
AT1G32240		0.0036	0.0058	0.818
AT5G06960		-0.0035	0.0043	0.909
AT5G62380		0.0034	0.0028	0.864
AT1G69690		0.0033	0.0043	0.864
AT1G06280		-0.0032	0.0023	0.864
AT4G05100		0.0031	0.0022	0.909
AT1G43700		0.0031	0.0039	0.909
AT5G56110		-0.0031	0.0023	0.909
AT5G08520		-0.0031	0.0027	0.909
AT5G62320		-0.0031	0.002	0.909
AT5G05790		0.0031	0.0028	0.864
AT4G26030		0.0025	0.0022	0.864
AT1G06850		0.0022	0.0045	0.909
AT3G13350		0.0021	0.0061	0.773
AT5G56840		-0.0018	0.0028	0.864
AT1G08010		0.0018	0.0035	0.818
AT3G62420		0.0017	0.0033	0.773
AT3G10480		-0.0017	0.0028	0.818
AT5G13180		0.0017	0.002	0.864
AT2G17950		-0.0015	0.0042	0.818
AT3G26620		0.0014	0.0069	0.773
AT2G45410		0.0013	0.0029	0.818
AT3G24050		-0.0013	0.0028	0.773
AT5G25830		0.0012	0.0037	0.773
AT2G18380		-0.0012	0.0033	0.727
AT1G45249		0.0012	0.0028	0.727
AT3G60580		-0.001	0.0039	0.545
AT5G04390		-0.0008	0.0033	0.682
AT3G04060		0.0008	0.0021	0.727
AT3G02150		0.0008	0.004	0.636
AT2G18160		-0.0007	0.0037	0.682
AT2G24430		0.0006	0.0023	0.727
AT5G10030		-0.0005	0.0019	0.727
AT5G08330		0.0005	0.0038	0.773
AT4G00250		0.0005	0.0034	0.636
AT4G10350		0.0004	0.0027	0.545
AT1G32150		-0.0004	0.0029	0.5
AT2G46770	ANAC043	0.0004	0.0023	0.591
AT4G37180		0.0004	0.0034	0.727
AT1G47655		-0.0003	0.0043	0.591
AT2G22540		0.0002	0.0051	0.591
AT3G10800		-0.0	0.0033	0.455
