Gene	10|1	10|2	20|1	20|2	45|1	45|2	90|1	90|2	180|1	180|2	360|1	360|2	720|1	720|2	1440|1	1440|2	20|3	20|4	90|3	90|4	180|3	180|4	360|3	360|4	720|3	720|4	1440|3	1440|4
AT2G40930	-0.037	0.1591	0.0582	0.1142	0.2785	0.3742	-0.0979	0.0745	0.0185	0.2437	-0.3971	-1.7792	-0.988	-0.4196	-0.6855	-0.311	-0.0394	-0.1523	-0.1157	0.0102	0.0574	0.2185	-0.1512	-0.2035	-0.1637	-0.1317	-0.0889	-0.2189
AT2G40935	0.0636	0.253	0.2971	-0.1443	0.5109	0.3009	0.3464	0.3334	0.1014	0.1074	0.1712	-0.4738	0.2771	0.0724	0.2877	-0.0172	0.0957	-0.0397	0.1521	0.0173	-0.3638	0.0809	-0.0083	-0.1433	-0.4083	0.0327	-0.065	-0.1405
AT2G40940	-0.8989	-0.7419	-0.7111	-0.9908	0.5672	0.2788	0.2318	0.3458	0.4082	-0.0568	-1.1651	-2.2826	-1.3585	-1.2879	-0.9729	-1.028	0.5717	0.5971	0.5365	0.7277	-0.0525	-0.0044	-0.3773	-0.2488	-0.2569	-0.0827	0.4772	0.7197
AT2G40950	-0.1454	0.149	-0.1131	0.1015	-0.1108	0.2434	0.1005	0.0849	-0.22	0.0157	-0.626	-1.4605	-0.7299	-0.5086	-0.1321	-0.1109	-0.2231	-0.2834	0.1199	0.2603	-0.1221	0.2541	0.0347	0.1671	-0.0609	0.0728	0.4824	0.5854
AT2G40960	-0.0167	-0.0539	0.0168	0.0192	-0.1234	0.2147	-0.0183	-0.2169	-0.0394	-0.0737	-0.346	-0.9003	-0.2439	-0.5464	-0.0453	-0.2334	0.0523	-0.5106	-0.0788	0.0644	-0.2747	0.1234	0.0319	-0.1213	0.2727	0.3533	-0.4154	-0.3508
AT2G40970	0.0338	0.2623	0.3781	0.2288	0.5946	0.6518	-0.2489	0.3491	0.1107	0.2339	-0.0114	-0.2734	-0.6065	-0.2299	-0.6054	-0.8466	0.8194	0.6852	0.0191	0.1815	0.1326	-0.0207	-0.19	-0.1929	-0.3379	-0.2462	-0.5892	-0.2768
AT2G40980	0.1686	0.2411	0.0221	0.2924	-0.0545	0.2396	-0.0771	-0.0974	-0.0398	0.1811	0.1762	-0.6675	-0.1577	0.2137	-0.2379	-0.0767	0.0378	-0.0655	-0.054	0.1161	0.0017	0.0435	0.0597	0.1406	-0.1695	0.1466	-0.0753	-0.1423
AT2G41000	-0.4146	-0.1684	-0.3892	-0.3767	-0.2431	-0.7205	0.8194	-0.2678	-0.4291	-0.3255	0.0596	0.0664	0.2499	-0.2522	0.1724	-0.2184	-0.3385	-0.6272	0.664	0.7805	0.3224	0.2645	0.1092	0.3199	-0.0967	0.4374	-0.2352	0.2133
AT2G41010	0.181	0.0077	0.1748	0.1837	0.3485	0.106	0.2061	-0.2282	-0.767	-0.4977	-0.7553	-0.823	-0.9522	-0.9987	-0.415	-0.4817	2.5423	2.3022	-0.6017	-0.4413	-0.2558	-0.5584	-0.1643	-0.2288	0.2009	0.47	0.7859	0.9985
AT2G41020	-0.0959	-0.397	-0.1212	-0.1438	0.0692	-0.1046	0.2852	0.0678	-0.0294	-0.0925	-0.0724	-0.5876	-0.1544	-0.412	-0.2609	0.0207	-0.2015	-0.0974	-0.0592	0.0578	-0.1041	0.0756	0.1036	-0.048	-0.1551	-0.0738	0.0781	0.0462
