Gene	5760|1	5760|2	5760|3	5760|4	5760|5	5760|6	5760|7	5760|8	11520|1	11520|2	11520|3	11520|4	11520|5	11520|6	11520|7	11520|8	11520|9	11520|10	11520|11	11520|12	5760|9	5760|10	5760|11	5760|12	5760|13	5760|14	5760|15	5760|16	11520|13	11520|14	11520|15	11520|16	11520|17	11520|18	11520|19	11520|20	11520|21	11520|22	11520|23	11520|24	5760|17	5760|18	5760|19	5760|20	5760|21	5760|22	5760|23	5760|24	5760|25	5760|26	5760|27	5760|28	8640|1	8640|2	8640|3	8640|4	5760|29	5760|30	5760|31	5760|32	8640|5	8640|6	8640|7	8640|8
AT1G23950	-0.3817	0.0735	-0.0653	-0.1562	-0.246	-0.2336	0.1185	-0.4293	-0.1076	0.0059	0.0052	-0.4091	0.0382	-0.0278	-0.5168	-0.0444	1.1117	1.5261	1.5268	1.4133	-1.2376	-1.3704	-1.6887	-1.8539	1.3647	1.4556	1.5943	1.1391	-2.2615	-1.5534	-2.0029	-1.9049	-0.8385	-0.1304	-0.4819	-0.5798	0.1312	0.09	-0.3492	-0.1127	0.1854	0.0526	-0.0999	-0.2657	-0.4309	0.0255	-0.4455	-0.2915	0.3102	0.4873	0.4252	-0.1949	0.4358	0.3846	0.4303	0.5286	0.6346	0.2073	-0.1461	0.3603	0.5741	0.4787	0.3774	0.7026
AT1G23970	-0.1503	-0.5904	-0.2586	-0.357	-0.0515	-0.4609	-0.6977	-0.2043	0.0426	0.2025	0.2755	0.1033	0.278	0.0329	0.0333	0.0711	0.0426	0.2147	0.1418	-0.0181	-0.2254	-0.4793	-0.4676	-0.5064	-0.4177	-0.3193	-0.6511	-0.211	-0.1829	-0.1439	-0.28	0.3187	-0.0148	0.0241	0.4868	-0.1119	0.5755	0.5434	0.2519	0.1991	-0.0573	-0.3112	0.2732	-0.2994	-0.3383	-0.0138	0.2255	0.6654	0.2196	0.5879	0.2659	0.0782	0.601	0.555	0.5277	0.186	0.4036	0.4696	0.2956	0.4441	0.5269	0.0074	0.0877	0.5569
AT1G23980	-0.0987	-0.2938	0.058	-0.4529	-0.4583	-0.7092	-1.0929	-0.3953	0.295	0.1208	0.2673	-0.592	0.0858	0.2288	-0.093	-0.4283	-0.5254	0.3339	0.1874	0.3617	-0.3247	-0.0121	-0.3829	-0.1627	-0.3863	0.1246	-0.2272	-0.0321	-0.9686	-0.784	-0.0455	-0.6719	-0.8142	-0.6296	-0.5175	0.1089	0.1388	-0.2502	0.3522	-0.2251	-0.1704	0.1423	-0.4197	-0.2285	-0.0083	-0.1846	0.0372	-0.3348	0.433	-0.8485	0.247	-0.3989	0.2159	0.0102	0.0117	-0.0894	0.1605	-0.4955	-0.2715	0.0595	0.1407	-0.214	-0.1064	0.324
AT1G24020	-0.6995	-0.9008	-0.3866	-1.2205	0.6464	0.8627	-0.062	-1.0168	-0.2583	-0.1213	-0.8869	-0.0528	0.8142	0.0622	0.2211	0.2925	0.8037	-0.0304	0.7351	0.5982	-0.688	-0.877	-0.0981	-1.0508	-0.364	0.4699	-0.0444	0.1569	-0.9633	-0.7832	-0.3046	-0.9216	-0.1148	0.0652	-0.0731	0.5439	-0.317	-0.8885	-0.4259	-0.2603	0.1606	-0.0284	-0.1473	0.7505	-0.2022	-0.3943	-0.407	-0.5899	-1.6604	-0.7757	-0.7644	-2.2982	-1.2603	-1.2615	-1.2699	-0.3879	0.3513	-0.2685	-0.3048	-0.9357	-0.5598	0.0864	1.0843	0.5833
AT1G24040	0.1158	0.0775	-0.2028	0.1772	0.076	0.2412	-0.2354	-0.9873	0.1939	0.5944	0.6125	-0.0358	0.004	0.1361	0.2786	0.0547	-0.1291	0.5193	0.5012	0.1006	-0.5419	-0.5565	-0.5968	-0.1707	0.084	-0.296	-0.0158	0.0225	-0.0191	-0.248	0.2379	-0.137	0.1548	-0.0742	0.0369	0.4118	0.2135	0.1513	0.215	0.4527	-0.368	-0.3826	-0.1553	-0.4229	0.0032	0.2859	0.1376	0.3348	-0.2918	-0.9255	-0.3659	0.0011	-0.1319	-0.1	-0.3456	-0.0325	-0.2598	-0.2757	-0.2377	-0.5155	0.1581	0.0799	0.1173	0.2523
AT1G24050	0.0618	0.0425	0.1027	0.1946	0.2909	0.1804	0.2004	0.4721	0.0583	-0.1979	0.1791	0.0914	-0.1437	-0.158	0.0852	-0.0595	-0.0945	-0.0068	-0.3838	-0.1275	0.04	0.017	-0.0381	0.158	0.0088	-0.0832	-0.1434	-0.124	0.1739	0.1445	0.0674	0.1721	0.0654	0.0359	0.0637	-0.041	0.0443	-0.0111	-0.0024	0.1212	-0.0684	-0.0915	0.0052	-0.1465	0.0495	0.2636	-0.2907	-0.1442	-0.5987	-0.5008	-0.6442	-0.7098	-0.5474	-0.4392	-0.3276	-0.0336	-0.5231	-0.6438	-0.7372	-0.2982	0.0295	-0.1329	0.2371	0.0311
AT1G24090	0.2916	-0.0219	0.0749	0.018	-0.0768	0.1684	-0.0958	0.7934	0.3153	0.1959	0.7293	0.2282	0.0279	0.181	-0.3546	0.0666	0.5957	1.0969	0.5635	0.6829	-0.395	-0.4675	0.2188	-0.3896	0.3856	0.4425	0.3456	0.6592	0.3293	0.3645	0.2372	0.1652	0.7852	0.8204	0.6212	0.6932	0.7359	0.6107	0.6101	0.4986	0.061	-0.0115	0.5253	0.6748	0.0664	0.6232	0.4359	0.8619	-0.2731	-0.9598	-1.1493	-1.1314	-0.1442	0.5234	1.1023	0.7341	0.2314	-0.5095	-0.2535	-0.3663	-0.8975	0.2566	1.0573	-0.1924
AT1G24095	0.1126	-0.072	0.3073	0.5229	0.3979	0.2392	0.4068	0.3726	-0.1945	0.0333	-0.1064	0.0056	0.1414	0.0481	0.2019	0.326	-0.2016	-0.3135	-0.1739	-0.4017	-0.0863	-0.2999	-0.0173	-0.0489	0.3157	0.1001	-0.2792	-0.0946	0.546	0.378	0.1004	0.356	0.2769	0.1087	0.0869	-0.1687	0.1333	-0.1221	0.013	-0.0927	-0.3554	-0.569	-0.6319	-0.2864	-0.318	-0.1777	-0.2448	-0.7203	0.0169	-0.3996	-0.1598	-0.9137	0.1156	-0.5883	1.081	0.1484	0.919	-0.2529	0.0554	-0.037	0.5703	0.4869	0.9576	0.5448
AT1G24100	-0.5384	-0.3404	-0.6305	-0.4625	-0.8327	-0.7449	-0.7269	-1.3892	0.0455	0.2484	0.6423	0.2472	0.333	0.3205	-0.1182	0.0384	0.2954	0.6906	0.2966	0.0937	-0.5439	-0.3057	-0.0484	-0.8209	-0.4143	-0.5823	-0.2922	-0.4902	0.0764	-0.097	0.2031	-0.3518	-0.0231	-0.1966	-0.4514	0.1035	0.705	0.7357	0.5819	0.2539	-0.6434	-0.4052	-1.0653	-0.1479	-0.9205	-1.0433	-0.3415	-1.0379	-0.3803	0.4201	0.1563	-0.8544	-0.4414	0.255	-0.0098	-0.1404	0.3356	-0.3428	-0.9629	0.6157	0.6298	-0.7996	-0.6936	-0.1907
AT1G24120	-0.0664	0.2249	-0.0239	-0.0092	-0.0087	0.0757	0.1081	-0.1479	-0.0131	0.1494	0.3778	0.0441	0.0125	0.1761	0.2505	-0.3492	0.3111	0.6448	0.4164	0.2539	-0.3842	-0.4323	-0.1766	0.0831	0.2578	0.2431	0.4919	0.2006	0.6937	0.4401	0.1074	0.5885	0.6185	0.3648	0.5133	0.0322	0.585	0.497	0.3049	0.4602	-0.4595	-0.5075	0.6698	-0.2518	0.0079	0.1164	-0.0139	-0.1314	-0.2231	0.2464	-0.0478	-0.1843	-0.234	-0.2634	0.0205	0.2203	0.1414	-0.011	-0.4384	0.0543	0.1498	-0.2195	0.118	0.0442
AT1G24140	-0.0034	0.4761	0.3783	0.0362	-0.4138	0.2281	-0.3671	-0.2633	-0.1529	-0.5796	0.1757	-0.1478	-0.1015	0.0833	-0.229	0.0398	-0.1321	0.1913	-0.564	-0.1373	-0.6103	0.0271	0.7119	0.4436	0.0518	0.3939	0.4917	0.0122	-0.0617	-0.7731	0.4312	0.2457	-0.1857	-0.8971	0.1216	0.3072	0.0385	-0.2704	-0.5639	0.1012	-0.7343	-0.0969	-0.1586	0.5879	0.3196	-0.3645	0.4769	-0.0443	1.8769	0.8133	0.2378	1.417	1.2104	0.2688	0.1251	1.1443	0.2465	0.1291	0.1736	0.14	0.6961	0.0389	-0.029	-0.029
AT1G24150	-0.2222	-0.4489	-0.4344	-0.2205	-0.3127	-0.1397	-0.161	-0.6604	-0.1261	0.0034	-0.1866	0.0021	-0.0393	0.239	0.2317	0.3851	-0.2037	-0.3924	-0.2025	-0.3319	-0.3707	0.1181	0.0407	-0.1753	-0.4263	-0.6402	-0.6547	-0.428	0.1832	-0.3626	0.8314	0.2586	-0.2803	-0.8262	-0.2049	0.3679	-0.0731	0.6132	-0.2766	0.1141	-0.8342	-0.3454	-0.2513	-0.4229	-0.6388	-0.6664	-0.487	0.1695	-0.0443	-0.9472	-0.2951	-1.0919	-0.0319	0.4418	-0.2376	0.0028	0.0845	-0.9823	-0.9939	-0.3495	0.1172	0.0172	0.4476	0.6864
AT1G24160	-0.0215	0.5998	0.2924	0.147	0.3417	0.1162	0.0298	-0.3364	0.3077	0.2276	0.1203	-0.1185	0.0505	0.2845	0.2741	0.0923	0.1243	0.363	0.4703	0.5505	-0.1632	-0.2019	0.1664	0.6007	0.3897	0.5351	0.8425	0.2213	0.3645	0.468	0.4499	0.1652	0.2267	0.3302	0.0275	0.3122	0.4072	0.8507	0.5779	0.4555	-0.3009	-0.3397	0.7548	0.0287	0.463	0.3882	0.2193	0.4959	-0.2385	0.1035	0.2372	-0.3767	-0.1895	-0.1072	-0.0402	-0.417	0.3745	0.0256	-0.2841	0.2705	0.5543	0.4213	0.322	0.722
AT1G24170	-0.1801	-0.1194	-0.2016	-0.2609	-0.3458	-0.1874	-0.3226	-0.4154	-0.3452	-0.2934	-0.5425	-0.1493	-0.629	-0.4912	-0.4498	-0.4406	-0.2522	-0.6454	-0.3963	-0.4482	-0.0768	-0.0942	-0.015	-0.5443	-0.3638	-0.3045	-0.2223	-0.283	-0.2825	-0.2234	-0.0803	-0.1364	-0.39	-0.331	-0.2439	-0.1878	-0.2301	0.0348	-0.2526	-0.1144	-0.1843	-0.2017	-0.4222	-0.1225	-0.6518	-0.6684	-0.8197	-0.4028	0.597	0.5618	0.5464	0.5254	0.7838	0.6864	0.6164	0.7938	-0.1565	-0.7241	-0.8421	0.538	-0.1691	-0.2422	-0.5273	-0.6526
AT1G24180	-0.0257	-0.35	-0.2745	-0.0499	-0.3068	-0.2654	-0.1627	0.0213	-0.184	-0.4051	-0.1911	-0.2865	-0.4626	-0.2836	-0.4157	-0.0583	-0.2138	-0.1184	-0.3324	-0.1113	-0.6834	-0.6468	-0.6383	-0.7004	0.0228	-0.2018	-0.2773	0.047	-0.3257	-0.4291	-0.3796	-0.4069	-0.3169	-0.4204	-0.3981	-0.3708	0.2108	0.3305	0.191	0.19	-0.6746	-0.638	-0.4383	-0.6295	-0.6916	-0.2439	-0.6154	-0.5451	-0.1172	0.3386	0.2368	-0.6386	0.0029	0.2683	-0.0533	-0.0229	0.8256	-0.163	-0.5314	0.708	0.715	0.0348	0.4211	0.6509
AT1G24190	0.1717	0.1578	0.3713	0.0522	-0.0217	0.3442	-0.1021	-0.2013	0.1436	0.091	-0.0703	-0.1281	0.0119	0.0906	0.072	-0.1214	0.0769	0.1348	0.2961	0.3486	0.0689	0.3991	0.3668	0.7081	0.2573	0.5764	0.3628	0.3767	0.5209	0.714	0.9682	0.4723	0.3619	0.5549	0.3133	0.8092	0.2308	0.8085	0.6071	0.3083	-0.0901	0.2401	0.9649	0.2078	0.5491	0.5827	1.0594	1.161	0.2297	0.2353	0.2349	-0.0944	0.1765	-0.2513	0.0293	0.0475	0.2322	-0.0423	0.0347	0.6454	0.284	0.2653	0.3095	0.4283
AT1G24240	0.2316	0.0806	-0.0182	-0.1793	-0.1528	-0.2461	-0.0533	0.1383	0.2927	0.1694	0.1344	0.2322	0.279	-0.0637	-0.1503	-0.04	0.999	0.9012	0.9363	1.0595	-0.6242	-0.8194	-0.7635	-0.6041	0.5876	0.7486	0.8474	0.9985	-0.6091	-0.4715	-0.3512	-0.7332	0.085	0.213	-0.0391	0.3429	0.3283	-0.0402	0.0351	0.3005	0.07	-0.1253	-0.2256	-0.0694	0.09	0.2097	0.0179	-0.3891	0.4299	0.7846	0.1054	0.4694	0.5726	0.4277	0.334	0.8665	0.3399	0.0968	0.283	0.6205	0.3962	0.119	1.1017	0.7495
AT1G24265	0.3821	0.3298	0.0706	0.254	-0.2837	-0.2969	0.1922	0.6611	0.6712	0.55	0.2424	0.328	0.4648	-0.0212	0.1234	0.0309	0.0001	-0.0856	0.2221	0.3432	0.3557	-0.6913	-0.4237	0.0826	-0.0739	-0.2574	0.0018	0.0542	0.1303	-0.0225	-0.1838	0.1686	0.1608	0.008	0.1991	-0.1533	0.4249	0.4191	0.3396	0.1519	0.3862	-0.6608	-0.5127	-0.3932	0.1131	0.1304	0.3103	0.8143	0.377	-0.011	-0.1062	-0.3264	-0.2538	0.1919	0.4284	0.4239	0.1123	0.0564	0.2355	0.4993	-0.0256	0.5742	0.9151	0.7309
AT1G24267	0.112	0.0979	0.345	0.1807	-0.0358	-0.395	0.1383	-0.0766	0.0194	0.0	-0.0212	0.2732	0.1949	-0.0214	0.0061	-0.1559	0.2569	-0.0376	-0.0164	0.003	-0.2873	0.1385	0.2653	0.0809	0.1644	0.3286	0.0815	0.0956	0.1089	-0.0099	0.2987	-0.0427	0.2055	0.0866	0.0539	0.3953	0.035	0.4665	0.3886	0.2745	-0.1907	0.2351	-0.1998	0.3619	0.1775	-0.0464	-0.1108	0.1451	-0.3339	-0.057	-0.0223	-0.265	0.1424	-0.1325	0.0994	0.1892	0.0189	-0.073	0.1052	0.0025	0.3976	0.1739	0.4782	0.6839
AT1G24280	-0.1981	-0.877	-0.9416	-0.6757	-0.8552	-1.3527	-1.1197	-0.9731	0.0132	-0.2368	-0.3729	-0.214	-0.4102	-0.5784	-0.2982	0.0685	0.0362	-0.1228	0.0133	0.2633	-1.2753	-0.4262	-0.6195	-0.6597	-0.4256	-0.6914	-0.6268	0.052	-0.3161	-0.5431	0.1723	0.2346	-0.2619	-0.489	0.2888	0.2265	0.4945	0.8379	0.2156	0.2747	-1.2211	-0.372	-1.1634	-0.5653	-0.6055	-0.8827	-0.9638	-0.9569	0.2283	-0.5168	-0.2587	-0.5084	0.5176	0.0273	0.4744	0.8261	1.4016	0.9003	0.2698	0.5677	0.3583	0.2685	1.1811	1.5174
AT1G24290	0.0962	0.2188	0.9306	0.1534	0.2212	-0.2549	-0.0663	-0.0289	-0.2123	0.1047	-0.0447	0.7426	-0.1396	-0.2067	-0.1421	-0.8701	0.5073	-0.28	-0.1306	-0.4476	0.0418	-0.0922	-0.1955	0.5907	-0.0818	0.6954	-0.0165	-0.1391	-0.3972	0.1081	-0.672	-0.0556	-0.3252	0.18	0.0164	-0.6	-0.0593	0.2805	0.3831	0.3886	0.1137	-0.0202	0.0375	-0.1235	0.6627	0.3642	0.9781	0.5315	-0.8186	-1.3687	-1.5678	-1.264	-0.8413	-0.8806	-0.3993	-0.6935	-0.6867	-0.9054	-0.5759	-0.6991	-1.2762	-0.3465	0.1561	-0.8772
AT1G24300	0.3982	-0.036	-0.178	-0.2555	-0.0664	-0.8944	0.1159	-1.0401	-0.2202	-0.0002	0.1604	-0.1714	0.0912	0.2086	-0.2143	0.198	-0.1571	0.1747	0.014	-0.2059	-0.1446	0.4146	0.4558	0.7817	-0.2413	-0.1637	-0.0218	0.4124	0.0462	-0.2891	-0.1652	-0.0718	-0.0271	-0.3624	-0.145	-0.2384	0.095	0.4725	0.8545	0.4929	-0.2179	0.3414	0.6207	0.3825	0.7084	0.2374	0.5713	0.7175	0.145	0.0356	0.071	0.0226	-0.3107	-0.4023	-0.3936	-0.3235	0.2994	0.2172	0.2442	0.3204	0.6096	0.3081	0.3252	0.5653
AT1G24310	0.1559	0.2095	0.0244	0.2153	-0.2913	-0.2376	0.0645	0.5479	0.1825	0.2975	0.267	0.3338	0.281	-0.0118	-0.0735	0.2361	0.3564	0.2896	0.3201	0.2051	-0.2632	-0.1158	0.0996	0.1122	0.2379	0.047	0.2321	0.1785	0.3641	-0.0102	-0.1377	0.2108	0.512	0.1377	0.3587	0.0102	0.1508	0.382	0.2536	0.396	-0.1153	0.0322	-0.0764	0.2475	0.2601	-0.0318	0.2329	-0.6038	-0.5302	-0.3484	-0.453	-0.9558	0.2098	0.1842	0.5154	0.4211	0.2095	-0.102	0.1168	-0.4163	0.1907	0.7594	1.145	0.8952
AT1G24330	0.329	0.657	-0.3163	0.2909	-0.5732	-0.6204	-0.1781	-0.444	-0.3366	-0.7022	-0.197	-0.1092	0.7183	-0.216	-0.2026	-0.3381	-0.2125	-0.3004	-0.8056	-0.44	-0.6289	-1.3568	-0.5784	-0.2597	0.1875	-0.4197	0.5536	0.2256	-0.3684	-0.2179	0.1236	0.218	-0.2189	-0.0685	0.3675	0.2731	0.0243	0.0021	0.0699	0.1577	-0.4794	-1.2073	-0.5783	-0.4289	-0.1103	-0.6239	-0.713	0.6796	-0.078	-0.5168	-0.7518	-0.0503	-1.022	-0.8509	-0.9773	-0.5537	-0.4433	-0.7706	-0.6727	-0.0796	-0.7311	-0.8555	-1.0552	-0.8982
AT1G24340	0.0344	-0.2518	0.0902	-0.6988	-0.7375	-0.7261	-0.3352	-0.349	0.2987	0.044	0.5014	0.0106	0.0813	-0.3459	-0.1028	0.4627	-0.1015	0.3893	-0.0681	0.1866	-0.1976	-0.4723	-0.5672	-0.2078	-0.811	-0.022	-0.364	-0.0777	0.2178	-0.8867	0.272	0.0407	0.5102	-0.5943	0.3332	0.5644	0.524	1.0248	0.9024	0.6904	0.0949	-0.1798	0.1304	-0.2747	0.0847	0.7054	0.2795	0.9308	-1.0992	-1.6016	-0.9641	-1.1274	-0.3995	-0.61	-0.601	-0.4985	-0.4572	-0.8735	-0.5126	-1.4351	-1.5895	-0.3374	-0.19	-0.5744
AT1G24350	0.0376	-0.1536	-0.1181	-0.4488	0.2514	0.175	0.2271	-0.0209	-0.0209	0.1128	-0.0999	-0.1094	-0.1438	0.0052	0.0409	0.1178	-0.011	-0.0016	0.2112	0.0775	-0.3189	-0.4016	-0.7033	-0.6061	-0.3504	-0.0197	-0.0553	0.136	0.3069	0.001	0.1435	0.2016	0.2988	-0.0072	0.1935	0.1354	0.0906	0.2738	-0.0509	0.1292	-0.327	-0.4097	-0.2235	-0.7114	-0.6142	0.3051	-0.2115	-0.3622	-0.1541	-0.0131	-0.1695	-0.0033	0.3484	0.0054	-0.0911	0.2024	-0.1782	-0.3059	-0.0179	-0.1224	0.1583	0.0552	-0.0055	-0.2318
AT1G24360	-0.0352	-0.198	-0.0209	0.1948	-0.3557	-0.5564	-0.2447	0.3128	0.1668	0.0738	0.2347	0.1674	-0.0568	-0.042	0.0042	0.0898	0.2575	0.3248	0.1639	0.2569	-0.3468	-0.3278	-0.3322	-0.0197	0.2849	0.0692	-0.108	0.0549	0.1684	0.0209	-0.0474	0.2194	0.1926	0.045	0.2436	-0.0232	0.3268	0.2174	0.3912	0.3792	-0.3226	-0.3036	-0.2428	-0.308	0.0045	-0.016	-0.6435	-0.702	-0.21	-0.2614	-0.0734	-0.1569	0.3116	0.2946	0.5605	0.4355	0.1855	0.0864	0.0948	-0.187	-0.0991	0.4702	0.7586	0.4259
AT1G24440	0.238	0.5148	-0.1397	-0.0987	0.6768	0.96	0.3263	0.062	-0.1495	-0.1035	-0.2483	-0.2943	0.3492	0.0799	-0.0247	0.2917	-0.3112	-0.2651	-0.1203	-0.1664	-0.0108	-0.0619	-0.4452	-0.3601	-0.1155	-0.1565	0.498	0.2212	-0.1804	-0.478	0.4336	0.0841	-0.2996	-0.5973	-0.0351	0.3143	0.0328	0.158	-0.191	0.0939	-0.13	-0.1811	0.3863	-0.5644	-0.4793	0.6289	0.0407	0.4226	-1.065	-1.59	-1.0279	-0.9055	-1.7368	-1.0353	-1.145	-1.0865	-0.8975	-0.6839	-0.9892	-1.0952	-0.5078	-0.9901	-0.5212	-0.7837
AT1G24450	-0.2381	0.0298	-0.0802	-0.4636	0.1032	-0.0409	-0.4525	-0.3942	0.1613	0.2026	-0.1317	0.1186	0.1732	0.0515	0.0179	0.0968	0.2338	-0.0166	0.3177	0.2765	-0.1497	-0.1813	-0.5782	-0.567	-0.3484	0.0349	0.145	-0.1229	-0.336	-0.3006	-0.2561	-0.2687	-0.0929	-0.0539	-0.0256	-0.013	-0.0965	0.1984	-0.0297	0.0268	0.0934	0.0619	-0.2596	-0.3351	-0.3239	0.0657	-0.3241	0.0529	-0.1417	0.4089	-0.0882	-0.1429	0.1921	-0.0766	0.0378	-0.1378	0.177	0.0812	-0.2807	0.2887	0.4917	0.3273	0.1968	0.6258
AT1G24460	0.0042	0.3516	0.225	-0.1701	-0.24	-0.2367	0.1119	-0.377	-0.1072	0.0152	0.0213	-0.3784	0.2618	0.0576	-0.3123	-0.2452	-0.0381	0.3615	0.3554	0.233	-0.184	0.2753	0.4076	0.5674	0.1702	0.5652	0.6918	0.3445	0.4221	0.3058	0.418	0.1274	0.4107	0.2944	0.116	0.4066	0.2784	0.6709	0.3243	0.4876	-0.1954	0.264	0.8792	0.3963	0.556	0.0811	0.9302	1.4323	0.1738	0.0646	0.2639	-0.3652	0.1829	0.1031	-0.1049	0.2441	0.2571	0.0127	-0.2089	0.2758	0.0963	-0.0365	0.2518	0.387
AT1G24490	0.0567	-0.1055	0.0768	-0.2542	-0.3642	-0.2297	0.2355	-0.0192	0.2823	0.0577	0.3424	0.0569	0.4462	0.3824	-0.0742	0.1057	0.3806	0.6661	0.3813	0.606	-0.9609	-0.1144	-0.3112	0.0165	0.0695	0.4005	0.2182	0.3804	-0.0377	0.4681	-0.0047	0.2121	0.172	0.6777	0.4218	0.205	0.6794	0.4549	0.062	0.5387	-0.7513	0.0953	0.315	-0.1015	0.2261	-0.2657	-0.002	0.3897	-0.3115	-0.8486	-0.3821	-1.0265	0.044	-0.1058	0.2055	0.2706	-0.5236	-0.4611	-0.6257	-0.723	-0.5166	-0.1255	0.3414	-0.1955
AT1G24510	0.2628	0.0853	0.3181	0.251	-0.0739	-0.3055	0.1012	0.2763	0.0403	-0.0668	0.1972	0.0346	-0.068	-0.1645	-0.0626	-0.2114	0.1815	0.344	0.08	0.1871	-0.2487	-0.4204	-0.2332	-0.1863	0.3978	0.4649	0.2321	0.4096	-0.1806	-0.467	-0.4516	-0.3376	-0.0008	-0.2873	-0.1578	-0.2718	0.5161	0.5067	0.5507	0.5223	-0.0689	-0.2406	-0.0539	-0.0534	-0.0065	-0.134	-0.0742	0.037	-0.4916	-0.3408	-0.2931	-0.8843	-0.0019	0.0625	0.2971	0.0924	0.4935	-0.0298	-0.1059	-0.1227	0.0202	0.3895	0.7117	0.6463
AT1G24530	-0.2922	-0.1849	-0.3163	-0.2919	0.4987	0.0144	-0.0749	-0.908	-0.5103	-0.5142	-0.5084	-0.5576	-0.3835	-0.3284	-0.3065	0.0706	0.3312	0.3804	0.3746	0.3785	-0.9456	-0.7682	-0.8217	-1.171	0.5969	0.5725	0.7039	0.5966	-1.4925	-1.2843	-1.0133	-1.4401	-0.8222	-0.6141	-0.7699	-0.343	0.0859	-0.2668	-0.3732	-0.0493	-0.2753	-0.098	-0.2835	-0.1514	-0.5008	0.6141	0.4237	0.2083	2.322	1.4717	1.3982	1.9888	1.4853	0.6902	0.7851	1.7248	2.125	1.9423	1.5073	2.241	1.38	1.2195	1.4097	1.2328
AT1G24560	-0.1833	0.0871	-0.1252	-0.2394	0.036	0.1063	-0.1736	-0.4887	-0.2573	-0.1597	-0.2457	-0.3144	0.3272	0.1697	0.0811	0.0943	0.0462	0.1149	0.2009	0.1032	-1.9207	-0.3377	-0.8416	-0.1955	0.1212	0.2354	0.4476	0.1773	0.2553	0.2217	0.17	-0.018	0.235	0.2014	-0.0383	0.1498	0.6071	0.7611	0.5998	0.832	-1.941	-0.358	0.2363	-0.8619	-0.2157	-0.3157	0.4507	0.5734	0.0992	-0.4821	-0.1826	-0.2656	-0.1494	-0.6301	-0.5527	-0.2919	0.1266	-0.0426	-0.2115	-0.043	0.017	-0.0588	0.0273	-0.0265
AT1G24575	-1.0042	-1.1545	0.1912	-1.5478	-0.9144	-0.1724	-0.4888	-1.9737	0.3124	0.4616	0.214	0.5598	1.3325	0.8244	0.7807	0.655	0.5778	0.232	0.4796	0.3303	-0.8058	1.0988	-0.1597	-0.3612	-1.5298	0.2091	-1.1365	-0.9862	0.6505	0.7046	1.0124	0.5327	0.7211	0.7751	0.6034	1.0831	0.1974	0.5596	0.3974	0.2767	-0.7352	1.1694	0.3686	-0.0891	-0.2906	-0.2954	-0.6547	-0.5918	-0.4692	-0.9245	-0.8394	-0.5957	0.3881	-0.213	0.583	-0.266	-0.4128	-1.051	-0.1152	-0.4909	-0.8053	0.1541	-0.4252	0.067
AT1G24610	-0.021	-0.2858	0.2173	0.1551	-0.8535	0.0877	-0.3054	-0.0318	0.3913	-0.202	0.625	0.2117	0.125	-0.1525	0.0199	0.0838	0.1895	0.6027	-0.2243	0.3691	-0.2458	-0.2186	-0.4937	-0.0568	0.1329	0.1951	-0.3081	-0.0432	0.2422	0.1867	-0.2316	-0.334	0.3622	0.3005	-0.214	-0.1117	0.3252	0.096	0.5306	0.2679	-0.1259	-0.0986	-0.8713	-0.3738	0.0632	0.1203	-0.1778	-0.3907	-0.6789	-0.3469	-0.5568	-0.3747	-0.0512	-0.0462	0.2482	0.071	-0.048	-0.0069	0.1449	-0.5316	-0.4945	0.2283	0.2524	-0.0548
AT1G24625	-0.0057	-0.1642	-0.5289	-0.2245	-0.0439	0.1951	0.1603	-0.5402	-0.0924	-0.0437	0.1342	-0.2073	0.2454	0.2079	-0.1966	-0.018	-0.1639	0.1776	-0.0002	-0.049	-0.4879	0.2109	-0.5347	-0.5234	-0.1811	-0.4854	-0.1207	0.0378	-0.1429	0.1922	-0.0869	-0.302	-0.1024	0.2326	-0.2614	-0.0464	-0.1253	0.2189	0.0547	0.0771	-0.4473	0.2514	-0.351	-0.4941	-0.4829	0.2464	-0.2308	-0.4936	-0.4467	0.09	0.0887	-0.5756	-0.8993	0.0023	-0.5421	-0.5816	0.5629	0.2367	-0.0604	0.2806	1.0168	0.2981	0.3946	0.8615
AT1G24706	0.2117	0.5855	0.6483	0.6714	0.2133	-0.3678	0.0538	-0.2093	0.1696	0.0913	0.2386	0.1961	0.5739	0.2441	-0.2487	-0.344	0.389	0.4315	0.2842	0.3625	0.3422	0.447	0.1993	0.4686	0.8643	0.8411	0.7784	0.4045	0.1238	0.0054	0.4541	-0.1931	-0.09	-0.2085	-0.407	0.2402	0.3505	0.4094	-0.0069	0.0896	0.1283	0.2331	0.6987	-0.0145	0.2547	-0.2795	0.9392	1.1951	0.1024	0.0111	-0.0362	-0.3626	-0.0232	-0.1167	-0.1296	-0.0116	0.0701	-0.2064	-0.0522	0.1417	0.3402	0.014	0.1135	0.2366
