"TAIR","SYMBOL","GENENAME","REFSEQ","ENTREZID","STRING_id","GOSLIM_IDS","ProbesetID","count_ENSEMBL_mappings","Atha_Ler-0_sShoots_FLT_Rep1","Atha_Ler-0_sShoots_FLT_Rep2","Atha_Ler-0_sShoots_FLT_Rep3","Atha_Ler-0_sShoots_GC_Rep1","Atha_Ler-0_sShoots_GC_Rep2","Atha_Ler-0_sShoots_GC_Rep3"
"AT5G48800",NA,NA,"NM_124257|NP_199691",834938,"3702.AT5G48800.1",NA,"248674_at",1,3.92165546683442,3.99452871157137,4.60734144217115,3.8265342950122,3.89975064868738,3.15475199082989
"AT5G48810","ATB5-B|ATCB5-D|B5|CB5-D|CYTB5-B","Encodes a cytochrome b5 isoform that localizes to the ER. The C-terminal portion of the protein appears to be capable of inserting into a plant microsomal membrane in vitro and the protein appears to be subject to glycosylation.","NM_124258|NP_199692",834939,"3702.AT5G48810.1","GO:0009055|GO:0005488|GO:0003824|GO:0097159|GO:1901363|GO:0046906|GO:0016491|GO:0020037|GO:0005737|GO:0043231|GO:0012505|GO:0005622|GO:0043227|GO:0005773|GO:0071944|GO:0110165|GO:0043226|GO:0016020|GO:0005783|GO:0043229|GO:0005886","248682_at",1,7.37155866762376,7.36115573076354,7.45312695906788,6.49801438099565,6.18031481967388,6.08542029797663
"AT5G48820","ICK6|KRP3","Kip-related protein (KRP) gene, encodes CDK (cyclin-dependent kinase) inhibitor (CKI), negative regulator of cell division. Binds to D type and CDC2A cyclins and may inhibit cell cycle.  Seven KRP genes were found in Arabidopsis thaliana. Differential expression patterns for distinct KRPs were revealed by in situ hybridization.","NM_001203566|NM_124259|NP_001190495|NP_199693",834940,"3702.AT5G48820.2",NA,"248675_at",1,2.66891449330888,2.29359382357828,2.79120901594121,2.93738018102212,2.7219551205538,2.45783214092186
"AT5G48830",NA,NA,"NM_001203567|NM_124260|NP_001190496|NP_568703",834941,"3702.AT5G48830.2",NA,"248679_at",1,1.46501402008575,1.56646420216422,1.36487076310052,1.51329183268818,1.6899772313313,1.26543741075446
"AT5G48840","ATPTS|PANC|PTS","Encodes a pantothenate synthetase that appears to be located in the cytosol. This protein is expected to play a role in pantothenate (vitamin B5) biosynthesis. Analysis of the catalytic properties of this enzyme indicate that it might be able to synthesize adequate amounts of pantothenate even in the presence of low levels of pantoate.","NM_124261|NP_199695",834942,"3702.AT5G48840.1","GO:0016053|GO:0043436|GO:0072330|GO:1901566|GO:1901564|GO:0044237|GO:0044249|GO:0034641|GO:0009058|GO:1901576|GO:0009987|GO:0006082|GO:0032787|GO:0046394|GO:0043604|GO:0006807|GO:0044271|GO:0006575|GO:0044283|GO:0019752|GO:0043603|GO:0044281|GO:0071704|GO:0008152|GO:0016874|GO:0003824","248680_at",1,3.93223583434786,4.17981613527729,3.83418713968746,3.93275273011364,4.36057858818937,3.8458680810193
"AT5G48850","ATSDI1|SDI1","homologous to the wheat sulphate deficiency-induced gene sdi1. Expression in root and leaf is induced by sulfur starvation. Knockout mutants retained higher root and leaf sulfate concentrations, indicating a role in regulation of stored sulfate pools.","NM_124262|NP_199696",834943,"3702.AT5G48850.1",NA,"248676_at",1,1.69308315149233,1.26275517388451,2.05262914642689,1.37114148703187,1.86376500351871,1.58476382068418
"AT5G48860",NA,NA,"NM_124263|NP_199697",834944,"3702.AT5G48860.1",NA,"248677_at",1,1.01767361232085,1.46957830126301,1.21988626148555,1.25691502264901,1.49964088898931,1.25380085307151
"AT5G48870","AtLSM5|AtSAD1|LSM5|SAD1","SAD1 encodes a polypeptide similar to multifunctional Sm-like snRNP proteins that are required for mRNA splicing, export, and degradation. Mutation in this gene increases plant sensitivity to drought stress and ABA in seed germination, root growth, and the expression of some stress-responsive genes.","NM_124264|NP_199698",834945,"3702.AT5G48870.1","GO:0006725|GO:0046483|GO:0016070|GO:0043170|GO:0006396|GO:0010467|GO:0044237|GO:0034641|GO:0009987|GO:0008380|GO:0006139|GO:0044238|GO:0090304|GO:0016071|GO:1901360|GO:0006807|GO:0000377|GO:0006397|GO:0000375|GO:0000398|GO:0008152|GO:0071704|GO:0003676|GO:0003723|GO:1901363|GO:0005488|GO:0097159|GO:0005688|GO:0005634|GO:0043231|GO:0046540|GO:0110165|GO:0043226|GO:0005687|GO:0043229|GO:0005682|GO:1990904|GO:0097525|GO:0032991|GO:0030532|GO:0120115|GO:0097526|GO:0005622|GO:0043227|GO:0120114","248678_at",1,7.85084713423028,7.80049126000229,7.70248108066858,7.42978227862793,6.64783158948348,7.24061403153402
"AT5G48880","KAT5|PKT1|PKT2","Encodes a peroxisomal 3-keto-acyl-CoA thiolase 2 precursor. EC2.3.1.16 thiolases. AT5G48880.1 is named PKT1 and AT5G48880.2 is named PKT2.","NM_001036960|NM_001344808|NM_124265|NM_180826|NP_001032037|NP_001331840|NP_568704|NP_851157",834946,"3702.AT5G48880.2","GO:0006725|GO:0006629|GO:0016042|GO:0030258|GO:1901360|GO:0006635|GO:0055114|GO:0009056|GO:1901575|GO:0046395|GO:0044242|GO:0008152|GO:0071704|GO:0044248|GO:0043436|GO:0051716|GO:0070887|GO:0044237|GO:0034440|GO:0009987|GO:0006082|GO:0032787|GO:0009062|GO:0044238|GO:0050896|GO:0006631|GO:0016054|GO:0044282|GO:0019439|GO:0042221|GO:1901361|GO:0044255|GO:0019752|GO:0044281|GO:0072329|GO:0016747|GO:0016746|GO:0016740|GO:0003824|GO:0005737|GO:0043231|GO:0005622|GO:0042579|GO:0043227|GO:0005777|GO:0110165|GO:0043226|GO:0043229","248625_at",1,1.83538938770277,1.35003393455605,1.78629250053355,1.51329183268818,2.37895439198077,1.53837323711976
"AT5G48900",NA,NA,"NM_124267|NP_568705",834948,"3702.AT5G48900.1",NA,"248681_at",1,5.67003050068849,5.77199051270217,5.69976036380647,3.32648739962039,3.53911344234902,1.92033041232374
"AT5G48910","LPA66","Encodes LPA66, a chloroplast protein of the pentatricopeptide repeat family. In lpa66 mutants, editing of psbF that converts serine to phenylalanine is specifically impaired. lpa66 mutants also display a high chlorophyll fluorescence phenotype.","NM_124268|NP_199702",834949,"3702.AT5G48910.1",NA,"248640_at",1,1.69308315149233,1.93674002794352,2.29470249758614,1.7838242022553,2.14960324624736,1.5289314359264
"AT5G48930","HCT","At5g48930 has been shown to encode for the hydroxycinnamoyl-Coenzyme A shikimate/quinate hydroxycinnamoyltransferase (HCT) both synthesizing and catabolizing the hydroxycinnamoylesters (coumaroyl/caffeoyl shikimate and quinate) involved in the phenylpropanoid pathway.  Influence on the accumulation of flavonoids which in turn inhibit auxin transport and reduce plant growth.","NM_124270|NP_199704",834951,"3702.AT5G48930.1",NA,"248639_at",1,6.24848473284696,5.90529587866978,6.05647924064723,5.36013568611789,5.37411368625278,5.25880916510224
"AT5G48940","RGFR2|RGI2",NA,"NM_124271|NP_199705",834952,"3702.AT5G48940.1","GO:0071944|GO:0110165|GO:0016020|GO:0005886","248626_at",1,1.36592234030396,1.20523975281918,1.46503932360835,1.49211237382703,2.01200535341449,1.44487893524306
"AT5G48950","DHNAT2",NA,"NM_124272|NM_203182|NP_199706|NP_974911",834953,"3702.AT5G48950.1","GO:0044237|GO:0044249|GO:0009058|GO:1901576|GO:0044283|GO:0009987|GO:0044281|GO:0071704|GO:0008152|GO:0016787|GO:0016788|GO:0003824|GO:0016790|GO:0005737|GO:0043231|GO:0005622|GO:0043227|GO:0042579|GO:0005777|GO:0005829|GO:0110165|GO:0043226|GO:0043229","248627_at",1,1.5375429885718,1.58162821150328,1.53685883329354,1.76520519997681,1.49865975610976,1.52986093888795
"AT5G48960",NA,NA,"NM_124273|NP_199707",834954,"3702.AT5G48960.1","GO:0016787|GO:0016788|GO:0016791|GO:0008253|GO:0003824|GO:0008252|GO:0042578","248628_at",1,2.30883359280161,1.93879744940153,2.16094073531213,2.14295898097953,2.25878860186706,2.17962839771921
