TF	Gene	Input
AT1G25580	AT3G03700	0.6603
AT1G25580	AT3G03702	0.897
AT1G25580	AT3G03710	0.6992
AT1G25580	AT3G04440	0.2723
AT1G25580	AT3G04450	0.7493
AT1G25580	AT3G04680	0.0803
AT1G25580	AT3G04775	0.4857
AT1G25580	AT3G04835	0.8813
AT1G25580	AT3G04935	0.0582
AT1G25580	AT3G05125	0.7429
AT1G25580	AT3G05320	0.1274
AT1G25580	AT3G05340	0.6667
AT1G25580	AT3G05350	0.5369
AT1G25580	AT3G05365	0.7202
AT1G25580	AT3G05410	0.3746
AT1G25580	AT3G05475	0.2158
AT1G25580	AT3G05555	0.7277
AT1G25580	AT3G05805	0.6731
AT1G25580	AT3G05890	0.4834
AT1G25580	AT3G05915	0.4735
AT1G25580	AT3G05925	0.4741
AT1G25580	AT3G06230	0.7336
AT1G25580	AT3G06340	0.0465
AT1G25580	AT3G06405	0.1745
AT1G25580	AT3G06436	0.683
AT1G25580	AT3G06615	0.6841
AT1G25580	AT3G06715	0.5684
AT1G25580	AT3G06795	0.9616
AT1G25580	AT3G07140	0.5835
AT1G25580	AT3G07300	0.2001
AT1G25580	AT3G07320	0.2443
AT1G25580	AT3G07335	0.5038
AT1G25580	AT3G07345	0.5032
AT1G25580	AT3G07350	0.2403
AT1G25580	AT3G07360	0.2821
AT1G25580	AT3G07695	0.3572
AT1G25580	AT3G07755	0.801
AT1G25580	AT3G07760	0.1611
AT1G25580	AT3G07800	0.7656
AT1G25580	AT3G07925	0.1582
AT1G25580	AT3G08215	0.0343
AT1G25580	AT3G08265	0.491
AT1G25580	AT3G08640	0.4346
AT1G25580	AT3G08745	0.2339
AT1G25580	AT3G08755	0.2344
AT1G25580	AT3G08915	0.6614
AT1G25580	AT3G08925	0.6608
AT1G25580	AT3G08935	0.0262
AT1G25580	AT3G08943	0.7592
AT1G25580	AT3G08990	0.2961
AT1G25580	AT3G09020	0.5154
AT1G25580	AT3G09050	0.3973
AT1G25580	AT3G09055	0.3979
AT1G25580	AT3G09115	0.2152
AT1G25580	AT3G09130	0.0942
AT1G25580	AT3G09162	0.5928
AT1G25580	AT3G09180	0.8261
AT1G25580	AT3G09380	0.8487
AT1G25580	AT3G09455	0.3403
AT1G25580	AT3G09510	0.9261
AT1G25580	AT3G09520	0.9267
AT1G25580	AT3G10040	0.3665
AT1G25580	AT3G10110	0.516
AT1G25580	AT3G10113	0.8511
AT1G25580	AT3G10280	0.8185
AT1G25580	AT3G10350	0.4468
AT1G25580	AT3G10500	0.7394
AT1G25580	AT3G10525	0.7731
AT1G25580	AT3G10527	0.7737
AT1G25580	AT3G10550	0.0349
AT1G25580	AT3G10560	0.0355
AT1G25580	AT3G11000	0.5969
AT1G25580	AT3G11530	0.1722
AT1G25580	AT3G11964	0.9674
AT1G25580	AT3G12400	0.1065
AT1G25580	AT3G12410	0.107
AT1G25580	AT3G12670	0.7755
AT1G25580	AT3G13020	0.21
AT1G25580	AT3G13225	0.5526
AT1G25580	AT3G13300	0.4282
AT1G25580	AT3G13380	0.7545
AT1G25580	AT3G13403	0.5183
AT1G25580	AT3G13433	0.1286
AT1G25580	AT3G13435	0.1291
AT1G25580	AT3G13900	0.4124
AT1G25580	AT3G14067	0.5765
AT1G25580	AT3G14210	0.9104
AT1G25580	AT3G14560	0.6591
AT1G25580	AT3G15090	0.2554
AT1G25580	AT3G15290	0.562
AT1G25580	AT3G15430	0.4183
AT1G25580	AT3G15540	0.676
AT1G25580	AT3G16410	0.0303
AT1G25580	AT3G16525	0.6876
AT1G25580	AT3G17250	0.4398
AT1G25580	AT3G17712	0.9913
AT1G25580	AT3G17740	0.9924
AT1G25580	AT3G18240	0.5364
AT1G25580	AT3G18524	0.3392
AT1G25580	AT3G18535	0.1687
AT1G25580	AT3G18940	0.4491
AT1G25580	AT3G19055	0.3613
AT1G25580	AT3G19150	0.8476
AT1G25580	AT3G19210	0.4584
AT1G25580	AT3G19220	0.4578
AT1G25580	AT3G19300	0.2926
AT1G25580	AT3G19310	0.2263
AT1G25580	AT3G19320	0.1053
AT1G25580	AT3G19460	0.2653
AT1G25580	AT3G19580	0.5544
AT1G25580	AT3G19800	0.2647
AT1G25580	AT3G20475	0.3531
AT1G25580	AT3G20490	0.8109
AT1G25580	AT3G20570	0.292
AT1G25580	AT3G20810	0.7615
AT1G25580	AT3G20970	0.4363
AT1G25580	AT3G21090	0.0204
AT1G25580	AT3G21305	0.1524
AT1G25580	AT3G21470	0.3025
AT1G25580	AT3G21610	0.6905
AT1G25580	AT3G21660	0.5474
AT1G25580	AT3G21950	0.3711
AT1G25580	AT3G22231	0.324
AT1G25580	AT3G22250	0.3682
AT1G25580	AT3G22333	0.559
AT1G25580	AT3G22337	0.5596
AT1G25580	AT3G22440	0.1059
AT1G25580	AT3G22870	0.9366
AT1G25580	AT3G22880	0.9697
AT1G25580	AT3G22935	0.6626
AT1G25580	AT3G22940	0.6632
AT1G25580	AT3G23070	0.2606
AT1G25580	AT3G23660	0.2676
AT1G25580	AT3G23950	0.6899
AT1G25580	AT3G24360	0.8575
AT1G25580	AT3G24615	0.4863
AT1G25580	AT3G24870	0.9389
AT1G25580	AT3G25250	0.8191
AT1G25580	AT3G25500	0.2071
AT1G25580	AT3G25716	0.349
AT1G25580	AT3G25719	0.0588
AT1G25580	AT3G25760	0.5177
AT1G25580	AT3G25882	0.8499
AT1G25580	AT3G26210	0.6166
AT1G25580	AT3G26520	0.8144
AT1G25580	AT3G26610	0.3194
AT1G25580	AT3G26800	0.3333
AT1G25580	AT3G27010	0.7504
AT1G25580	AT3G27060	0.8627
AT1G25580	AT3G27090	0.5654
AT1G25580	AT3G27110	0.4962
AT1G25580	AT3G27120	0.1891
AT1G25580	AT3G27380	0.5317
AT1G25580	AT3G27610	0.0361
AT1G25580	AT3G27620	0.8377
AT1G25580	AT3G27630	0.8371
AT1G25580	AT3G27640	0.8284
AT1G25580	AT3G28007	0.0983
AT1G25580	AT3G28290	0.8517
AT1G25580	AT3G28660	0.8976
AT1G25580	AT3G28685	0.7283
AT1G25580	AT3G28940	0.4945
AT1G25580	AT3G29080	0.0966
AT1G25580	AT3G29180	0.5195
AT1G25580	AT3G29340	0.7574
AT1G25580	AT3G29430	0.4759
AT1G25580	AT3G29763	0.8877
AT1G25580	AT3G29765	0.8883
AT1G25580	AT3G30160	0.135
AT1G25580	AT3G30385	0.6463
AT1G25580	AT3G30387	0.893
AT1G25580	AT3G31560	0.2781
AT1G25580	AT3G32130	0.5695
AT1G25580	AT3G32190	0.4223
AT1G25580	AT3G32410	0.6469
AT1G25580	AT3G42560	0.7091
AT1G25580	AT3G42786	0.6777
AT1G25580	AT3G42860	0.8005
AT1G25580	AT3G43160	0.2787
AT1G25580	AT3G43180	0.3101
AT1G25580	AT3G43572	0.6201
AT1G25580	AT3G43574	0.6207
AT1G25580	AT3G43870	0.114
AT1G25580	AT3G43910	0.6318
AT1G25580	AT3G43930	0.3933
AT1G25580	AT3G44006	0.5282
AT1G25580	AT3G44130	0.6323
AT1G25580	AT3G44250	0.5259
AT1G25580	AT3G44260	0.2705
AT1G25580	AT3G44430	0.1454
AT1G25580	AT3G44435	0.146
AT1G25580	AT3G44480	0.9889
AT1G25580	AT3G44485	0.9895
AT1G25580	AT3G44620	0.3409
AT1G25580	AT3G44630	0.4846
AT1G25580	AT3G44660	0.5271
AT1G25580	AT3G44665	0.285
AT1G25580	AT3G44670	0.5253
AT1G25580	AT3G44950	0.2385
AT1G25580	AT3G45450	0.0971
AT1G25580	AT3G45510	0.3019
AT1G25580	AT3G45730	0.8226
AT1G25580	AT3G45740	0.822
AT1G25580	AT3G45790	0.8162
AT1G25580	AT3G45900	0.4002
AT1G25580	AT3G45910	0.4008
AT1G25580	AT3G45920	0.9127
AT1G25580	AT3G45930	0.9133
AT1G25580	AT3G46150	0.1303
AT1G25580	AT3G46320	0.8633
AT1G25580	AT3G46400	0.0878
AT1G25580	AT3G46420	0.6661
AT1G25580	AT3G46530	0.3677
AT1G25580	AT3G46658	0.2542
AT1G25580	AT3G46710	0.1803
AT1G25580	AT3G46760	0.4799
AT1G25580	AT3G46880	0.1786
AT1G25580	AT3G46960	0.3583
AT1G25580	AT3G47580	0.523
AT1G25580	AT3G47620	0.6638
AT1G25580	AT3G48320	0.1576
AT1G25580	AT3G48425	0.6387
AT1G25580	AT3G48740	0.7138
AT1G25580	AT3G48980	0.1873
AT1G25580	AT3G49060	0.0105
AT1G25580	AT3G49070	0.0099
AT1G25580	AT3G49130	0.2577
AT1G25580	AT3G49160	0.6062
AT1G25580	AT3G49200	0.4514
AT1G25580	AT3G49450	0.3886
AT1G25580	AT3G49796	0.2141
AT1G25580	AT3G50140	0.5812
AT1G25580	AT3G50190	0.715
AT1G25580	AT3G50250	0.6312
AT1G25580	AT3G50390	0.3298
AT1G25580	AT3G50665	0.5125
AT1G25580	AT3G51580	0.7632
AT1G25580	AT3G52110	0.8522
AT1G25580	AT3G52115	0.8668
AT1G25580	AT3G52330	0.2112
AT1G25580	AT3G52880	0.2839
AT1G25580	AT3G53280	0.6003
AT1G25580	AT3G53810	0.046
AT1G25580	AT3G53820	0.0483
AT1G25580	AT3G53850	0.0384
AT1G25580	AT3G54380	0.3106
AT1G25580	AT3G54420	0.6928
AT1G25580	AT3G54590	0.6021
AT1G25580	AT3G54640	0.0838
AT1G25580	AT3G54730	0.8796
AT1G25580	AT3G55005	0.7458
AT1G25580	AT3G55220	0.829
AT1G25580	AT3G55310	0.7929
AT1G25580	AT3G55640	0.3234
AT1G25580	AT3G56250	0.6568
AT1G25580	AT3G56650	0.5044
AT1G25580	AT3G56800	0.4247
AT1G25580	AT3G56850	0.4386
AT1G25580	AT3G56990	0.4939
AT1G25580	AT3G57465	0.0256
AT1G25580	AT3G57540	0.5614
AT1G25580	AT3G57550	0.3642
AT1G25580	AT3G57800	0.7365
AT1G25580	AT3G57890	0.4171
AT1G25580	AT3G58270	0.8028
AT1G25580	AT3G58400	0.4823
AT1G25580	AT3G59130	0.3357
AT1G25580	AT3G59590	0.6393
AT1G25580	AT3G60176	0.8551
AT1G25580	AT3G60320	0.2118
AT1G25580	AT3G60340	0.4357
AT1G25580	AT3G60570	0.9343
AT1G25580	AT3G60970	0.0931
AT1G25580	AT3G60990	0.9546
AT1G25580	AT3G61280	0.1419
AT1G25580	AT3G61460	0.4322
AT1G25580	AT3G61580	0.1478
AT1G25580	AT3G61620	0.4479
AT1G25580	AT3G61630	0.4485
AT1G25580	AT3G61850	0.5585
AT1G25580	AT3G62070	0.7353
AT1G25580	AT3G62150	0.2077
AT1G25580	AT3G62420	0.0908
AT1G25580	AT3G62528	0.1629
AT1G25580	AT3G62540	0.9808
AT1G25580	AT3G62650	0.1158
AT1G25580	AT3G63020	0.1169
AT1G25580	AT3G63030	0.1163
AT1G25580	AT3G63080	0.0977
AT1G25580	AT3G63200	0.4119
AT1G25580	AT3G63230	0.7045
AT1G25580	AT3G63300	0.5305
AT1G25580	AT4G00040	0.0512
AT1G25580	AT4G00232	0.5073
AT1G25580	AT4G00630	0.1222
AT1G25580	AT4G00650	0.1227
AT1G25580	AT4G00750	0.0861
AT1G25580	AT4G00889	0.4421
AT1G25580	AT4G00890	0.4427
AT1G25580	AT4G00960	0.6498
AT1G25580	AT4G00985	0.0192
AT1G25580	AT4G01110	0.1402
AT1G25580	AT4G01460	0.6108
AT1G25580	AT4G01640	0.3485
AT1G25580	AT4G01690	0.3304
AT1G25580	AT4G02010	0.4689
AT1G25580	AT4G02110	0.8232
AT1G25580	AT4G02390	0.8447
AT1G25580	AT4G02489	0.6707
AT1G25580	AT4G02540	0.0209
AT1G25580	AT4G03435	0.1373
AT1G25580	AT4G03443	0.4764
AT1G25580	AT4G03445	0.477
AT1G25580	AT4G03570	0.0163
AT1G25580	AT4G03805	0.0186
AT1G25580	AT4G04402	0.6451
AT1G25580	AT4G04601	0.2996
AT1G25580	AT4G04640	0.0547
AT1G25580	AT4G04775	0.8214
AT1G25580	AT4G04780	0.797
AT1G25580	AT4G04865	0.8098
AT1G25580	AT4G04895	0.288
AT1G25580	AT4G05085	0.8237
AT1G25580	AT4G05125	0.0372
AT1G25580	AT4G05135	0.2752
AT1G25580	AT4G05245	0.007
AT1G25580	AT4G05310	0.4415
AT1G25580	AT4G05335	0.1315
AT1G25580	AT4G05380	0.0558
AT1G25580	AT4G05415	0.2862
AT1G25580	AT4G05425	0.5212
AT1G25580	AT4G05435	0.5207
AT1G25580	AT4G05555	0.5963
AT1G25580	AT4G05605	0.1257
AT1G25580	AT4G06300	0.2816
AT1G25580	AT4G06305	0.5788
AT1G25580	AT4G06310	0.5782
AT1G25580	AT4G06395	0.6684
AT1G25580	AT4G06490	0.0169
AT1G25580	AT4G06583	0.5102
AT1G25580	AT4G06885	0.2536
AT1G25580	AT4G06965	0.4619
AT1G25580	AT4G06975	0.7062
AT1G25580	AT4G07325	0.1001
AT1G25580	AT4G07350	0.7388
AT1G25580	AT4G07375	0.566
AT1G25580	AT4G07526	0.2833
AT1G25580	AT4G07745	0.7964
AT1G25580	AT4G07965	0.6015
AT1G25580	AT4G08116	0.2629
AT1G25580	AT4G08190	0.3461
AT1G25580	AT4G08260	0.8173
AT1G25580	AT4G08300	0.5974
AT1G25580	AT4G08325	0.6736
AT1G25580	AT4G08410	0.3688
AT1G25580	AT4G08435	0.217
AT1G25580	AT4G08535	0.4921
AT1G25580	AT4G08700	0.4828
AT1G25580	AT4G08730	0.1035
AT1G25580	AT4G08760	0.2019
AT1G25580	AT4G08795	0.0873
AT1G25580	AT4G08810	0.4538
AT1G25580	AT4G08975	0.1559
AT1G25580	AT4G09105	0.3252
AT1G25580	AT4G09120	0.7475
AT1G25580	AT4G09210	0.8866
AT1G25580	AT4G09250	0.598
AT1G25580	AT4G09260	0.9831
AT1G25580	AT4G09460	0.4444
AT1G25580	AT4G09464	0.8115
AT1G25580	AT4G09467	0.8918
AT1G25580	AT4G09610	0.2391
AT1G25580	AT4G09630	0.0855
AT1G25580	AT4G10000	0.2885
AT1G25580	AT4G10040	0.331
AT1G25580	AT4G10230	0.8307
AT1G25580	AT4G10280	0.8365
AT1G25580	AT4G10400	0.5468
AT1G25580	AT4G10465	0.0867
AT1G25580	AT4G10530	0.3368
AT1G25580	AT4G10540	0.4602
AT1G25580	AT4G10695	0.2717
AT1G25580	AT4G10700	0.7522
AT1G25580	AT4G10840	0.2164
AT1G25580	AT4G11010	0.0617
AT1G25580	AT4G11280	0.2455
AT1G25580	AT4G11700	0.4555
AT1G25580	AT4G11740	0.8418
AT1G25580	AT4G12040	0.3525
AT1G25580	AT4G12080	0.0692
AT1G25580	AT4G12510	0.8296
AT1G25580	AT4G12520	0.9354
AT1G25580	AT4G13370	0.8051
AT1G25580	AT4G13445	0.6219
AT1G25580	AT4G13640	0.3706
AT1G25580	AT4G13890	0.5713
AT1G25580	AT4G14140	0.3816
AT1G25580	AT4G14480	0.0768
AT1G25580	AT4G14520	0.0006
AT1G25580	AT4G14970	0.694
AT1G25580	AT4G15320	0.9279
AT1G25580	AT4G15410	0.5003
AT1G25580	AT4G15760	0.2891
AT1G25580	AT4G15850	0.4212
AT1G25580	AT4G15980	0.427
AT1G25580	AT4G16015	0.8464
AT1G25580	AT4G16080	0.6597
AT1G25580	AT4G16180	0.6033
AT1G25580	AT4G16200	0.3822
AT1G25580	AT4G16215	0.3781
AT1G25580	AT4G16240	0.6446
AT1G25580	AT4G16410	0.6678
AT1G25580	AT4G16420	0.4177
AT1G25580	AT4G16550	0.5625
AT1G25580	AT4G16580	0.4287
AT1G25580	AT4G16800	0.758
AT1G25580	AT4G16890	0.6562
AT1G25580	AT4G16940	0.8703
AT1G25580	AT4G16950	0.7789
AT1G25580	AT4G16955	0.982
AT1G25580	AT4G17010	0.8301
AT1G25580	AT4G17520	0.6306
AT1G25580	AT4G17710	0.7289
AT1G25580	AT4G17713	0.7295
AT1G25580	AT4G17790	0.2147
AT1G25580	AT4G17920	0.0593
AT1G25580	AT4G17950	0.0477
AT1G25580	AT4G18400	0.4654
AT1G25580	AT4G19003	0.3845
AT1G25580	AT4G19006	0.256
AT1G25580	AT4G19120	0.1233
AT1G25580	AT4G19130	0.7557
AT1G25580	AT4G19140	0.7551
AT1G25580	AT4G19160	0.0215
AT1G25580	AT4G19170	0.2257
AT1G25580	AT4G19185	0.0698
AT1G25580	AT4G19190	0.0704
AT1G25580	AT4G19240	0.4311
AT1G25580	AT4G19260	0.865
AT1G25580	AT4G19275	0.8778
AT1G25580	AT4G19340	0.8604
AT1G25580	AT4G19630	0.2973
AT1G25580	AT4G19720	0.3578
AT1G25580	AT4G20260	0.1338
AT1G25580	AT4G20630	0.9401
AT1G25580	AT4G20700	0.8313
AT1G25580	AT4G20703	0.8924
AT1G25580	AT4G20720	0.9837
AT1G25580	AT4G20800	0.1815
AT1G25580	AT4G20953	0.7056
AT1G25580	AT4G21070	0.8598
AT1G25580	AT4G21640	0.6853
AT1G25580	AT4G21840	0.0669
AT1G25580	AT4G21903	0.2408
AT1G25580	AT4G21990	0.2763
AT1G25580	AT4G22130	0.0832
AT1G25580	AT4G22240	0.6341
AT1G25580	AT4G22250	0.6347
AT1G25580	AT4G22666	0.0756
AT1G25580	AT4G22670	0.0762
AT1G25580	AT4G22710	0.9779
AT1G25580	AT4G22910	0.3269
AT1G25580	AT4G22960	0.8272
AT1G25580	AT4G23060	0.4404
AT1G25580	AT4G23590	0.5049
AT1G25580	AT4G23650	0.0657
AT1G25580	AT4G23713	0.1082
AT1G25580	AT4G24050	0.5055
AT1G25580	AT4G24160	0.0925
AT1G25580	AT4G24310	0.0506
AT1G25580	AT4G24460	0.5538
AT1G25580	AT4G24560	0.1431
AT1G25580	AT4G24580	0.2531
AT1G25580	AT4G24610	0.6742
AT1G25580	AT4G24710	0.5817
AT1G25580	AT4G24980	0.192
AT1G25580	AT4G25220	0.5334
AT1G25580	AT4G25330	0.8243
AT1G25580	AT4G25570	0.6492
AT1G25580	AT4G25580	0.6486
AT1G25580	AT4G25950	0.057
AT1G25580	AT4G26330	0.2589
AT1G25580	AT4G27050	0.7696
AT1G25580	AT4G27070	0.5492
AT1G25580	AT4G27110	0.4136
AT1G25580	AT4G27160	0.2228
AT1G25580	AT4G27170	0.2234
AT1G25580	AT4G27320	0.466
AT1G25580	AT4G27440	0.16
AT1G25580	AT4G27800	0.6289
AT1G25580	AT4G27980	0.5939
AT1G25580	AT4G28070	0.2187
AT1G25580	AT4G28088	0.4596
AT1G25580	AT4G28100	0.1175
AT1G25580	AT4G28520	0.7272
AT1G25580	AT4G28640	0.0739
AT1G25580	AT4G28950	0.5358
AT1G25580	AT4G28980	0.8319
AT1G25580	AT4G29050	0.2874
AT1G25580	AT4G29170	0.765
AT1G25580	AT4G29450	0.0047
AT1G25580	AT4G30460	0.5742
AT1G25580	AT4G30610	0.2083
AT1G25580	AT4G30640	0.2472
AT1G25580	AT4G30770	0.1547
AT1G25580	AT4G30790	0.7243
AT1G25580	AT4G30910	0.1117
AT1G25580	AT4G31060	0.4206
AT1G25580	AT4G31115	0.0989
AT1G25580	AT4G31180	0.5608
AT1G25580	AT4G31351	0.6981
AT1G25580	AT4G31354	0.9325
AT1G25580	AT4G31405	0.7563
AT1G25580	AT4G31520	0.1739
AT1G25580	AT4G31890	0.3636
AT1G25580	AT4G31895	0.363
AT1G25580	AT4G31910	0.7644
AT1G25580	AT4G32020	0.0064
AT1G25580	AT4G32208	0.8394
AT1G25580	AT4G32210	0.9866
AT1G25580	AT4G32280	0.6719
AT1G25580	AT4G32450	0.1774
AT1G25580	AT4G32770	0.4159
AT1G25580	AT4G32950	0.1966
AT1G25580	AT4G33160	0.6847
AT1G25580	AT4G33170	0.5172
AT1G25580	AT4G33180	0.5166
AT1G25580	AT4G33905	0.0151
AT1G25580	AT4G34020	0.3764
AT1G25580	AT4G34030	0.4235
AT1G25580	AT4G34080	0.8965
AT1G25580	AT4G34220	0.6126
AT1G25580	AT4G34270	0.1832
AT1G25580	AT4G34320	0.4892
AT1G25580	AT4G34430	0.4956
AT1G25580	AT4G34500	0.6097
AT1G25580	AT4G34510	0.7359
AT1G25580	AT4G34620	0.1099
AT1G25580	AT4G34881	0.751
AT1G25580	AT4G34920	0.7941
AT1G25580	AT4G35025	0.6143
AT1G25580	AT4G35030	0.6137
AT1G25580	AT4G35240	0.0268
AT1G25580	AT4G35420	0.3066
AT1G25580	AT4G35430	0.306
AT1G25580	AT4G35740	0.8441
AT1G25580	AT4G36030	0.74
AT1G25580	AT4G36100	0.3159
AT1G25580	AT4G36140	0.2757
AT1G25580	AT4G36240	0.3554
AT1G25580	AT4G36635	0.0489
AT1G25580	AT4G36720	0.0937
AT1G25580	AT4G37380	0.0326
AT1G25580	AT4G37420	0.2467
AT1G25580	AT4G37450	0.3909
AT1G25580	AT4G37490	0.4462
AT1G25580	AT4G37500	0.6894
AT1G25580	AT4G37530	0.8127
AT1G25580	AT4G38130	0.409
AT1G25580	AT4G38140	0.4084
AT1G25580	AT4G38225	0.8348
AT1G25580	AT4G38320	0.4508
AT1G25580	AT4G38420	0.2845
AT1G25580	AT4G38460	0.3205
AT1G25580	AT4G39060	0.9314
AT1G25580	AT4G39180	0.8592
AT1G25580	AT4G39230	0.3618
AT1G25580	AT4G39500	0.6754
AT1G25580	AT4G39780	0.7405
AT1G25580	AT4G39880	0.0273
AT1G25580	AT4G39900	0.7469
AT1G25580	AT4G39952	0.591
AT1G25580	AT4G39955	0.2135
AT1G25580	AT5G00815	0.4997
AT1G25580	AT5G00930	0.5218
AT1G25580	AT5G01275	0.1216
AT1G25580	AT5G01840	0.1111
AT1G25580	AT5G01970	0.6998
AT1G25580	AT5G02020	0.4561
AT1G25580	AT5G02140	0.4991
AT1G25580	AT5G02220	0.8412
AT1G25580	AT5G02260	0.4927
AT1G25580	AT5G02480	0.5428
AT1G25580	AT5G02660	0.6038
AT1G25580	AT5G02870	0.4264
AT1G25580	AT5G02945	0.1972
AT1G25580	AT5G02995	0.3741
AT1G25580	AT5G03055	0.1652
AT1G25580	AT5G03465	0.9226
AT1G25580	AT5G03545	0.2914
AT1G25580	AT5G03550	0.2909
AT1G25580	AT5G03735	0.7714
AT1G25580	AT5G03780	0.8342
AT1G25580	AT5G04055	0.0791
AT1G25580	AT5G04140	0.6085
AT1G25580	AT5G04470	0.0081
AT1G25580	AT5G04475	0.0087
AT1G25580	AT5G04675	0.0721
AT1G25580	AT5G04685	0.0716
AT1G25580	AT5G04775	0.8528
AT1G25580	AT5G04810	0.5061
AT1G25580	AT5G04890	0.7888
AT1G25580	AT5G04895	0.7894
AT1G25580	AT5G04935	0.7051
AT1G25580	AT5G04965	0.9878
AT1G25580	AT5G04985	0.395
AT1G25580	AT5G05005	0.936
AT1G25580	AT5G05035	0.043
AT1G25580	AT5G05125	0.4817
AT1G25580	AT5G05240	0.2938
AT1G25580	AT5G05335	0.5148
AT1G25580	AT5G05425	0.2024
AT1G25580	AT5G05440	0.2769
AT1G25580	AT5G05445	0.203
AT1G25580	AT5G05765	0.6102
AT1G25580	AT5G05840	0.1908
AT1G25580	AT5G05965	0.1606
AT1G25580	AT5G06190	0.2309
AT1G25580	AT5G06200	0.2315
AT1G25580	AT5G06475	0.4724
AT1G25580	AT5G06610	0.1751
AT1G25580	AT5G06630	0.9994
AT1G25580	AT5G06980	0.2059
AT1G25580	AT5G07005	0.0227
AT1G25580	AT5G07035	0.3595
AT1G25580	AT5G07100	0.4916
AT1G25580	AT5G07160	0.6969
AT1G25580	AT5G07165	0.6975
AT1G25580	AT5G07340	0.0378
AT1G25580	AT5G07390	0.167
AT1G25580	AT5G07400	0.1664
AT1G25580	AT5G07425	0.6254
AT1G25580	AT5G07465	0.0524
AT1G25580	AT5G07540	0.0954
AT1G25580	AT5G07600	0.7411
AT1G25580	AT5G07610	0.7417
AT1G25580	AT5G07665	0.79
AT1G25580	AT5G07770	0.2519
AT1G25580	AT5G07785	0.7179
AT1G25580	AT5G07790	0.4887
AT1G25580	AT5G07945	0.1123
AT1G25580	AT5G07955	0.4299
AT1G25580	AT5G07970	0.0611
AT1G25580	AT5G08040	0.3147
AT1G25580	AT5G08050	0.3153
AT1G25580	AT5G08085	0.669
AT1G25580	AT5G08330	0.712
AT1G25580	AT5G08335	0.4729
AT1G25580	AT5G08400	0.6504
AT1G25580	AT5G08540	0.5387
AT1G25580	AT5G08620	0.4648
AT1G25580	AT5G08715	0.6172
AT1G25580	AT5G08800	0.651
AT1G25580	AT5G08830	0.2728
AT1G25580	AT5G09095	0.0407
AT1G25580	AT5G09135	0.2356
AT1G25580	AT5G09455	0.5887
AT1G25580	AT5G09500	0.0849
AT1G25580	AT5G09600	0.701
AT1G25580	AT5G09760	0.3444
AT1G25580	AT5G09785	0.0814
AT1G25580	AT5G09965	0.5067
AT1G25580	AT5G10250	0.5189
AT1G25580	AT5G10310	0.5532
AT1G25580	AT5G10336	0.6649
AT1G25580	AT5G10340	0.6643
AT1G25580	AT5G10470	0.42
AT1G25580	AT5G10650	0.2292
AT1G25580	AT5G10980	0.7627
AT1G25580	AT5G11460	0.7952
AT1G25580	AT5G11640	0.4898
AT1G25580	AT5G11690	0.0175
AT1G25580	AT5G11730	0.3607
AT1G25580	AT5G11850	0.6952
AT1G25580	AT5G11890	0.0844
AT1G25580	AT5G12190	0.0454
AT1G25580	AT5G12300	0.4328
AT1G25580	AT5G12330	0.6161
AT1G25580	AT5G12340	0.6149
AT1G25580	AT5G13110	0.3229
AT1G25580	AT5G13810	0.1297
AT1G25580	AT5G13890	0.4107
AT1G25580	AT5G13930	0.6079
AT1G25580	AT5G14345	0.1513
AT1G25580	AT5G14490	0.8639
AT1G25580	AT5G14495	0.8645
AT1G25580	AT5G14820	0.7086
AT1G25580	AT5G14860	0.0145
AT1G25580	AT5G15360	0.4113
AT1G25580	AT5G15410	0.3136
AT1G25580	AT5G15420	0.2932
AT1G25580	AT5G15540	0.7691
AT1G25580	AT5G15690	0.8383
AT1G25580	AT5G15730	0.3805
AT1G25580	AT5G16020	0.0337
AT1G25580	AT5G16130	0.0436
AT1G25580	AT5G16520	0.7882
AT1G25580	AT5G16650	0.2042
AT1G25580	AT5G16790	0.1518
AT1G25580	AT5G16940	0.1344
AT1G25580	AT5G17167	0.3671
AT1G25580	AT5G17170	0.4933
AT1G25580	AT5G17500	0.3967
AT1G25580	AT5G17530	0.8988
AT1G25580	AT5G18090	0.3275
AT1G25580	AT5G18100	0.3281
AT1G25580	AT5G18270	0.573
AT1G25580	AT5G18390	0.014
AT1G25580	AT5G18490	0.6521
AT1G25580	AT5G18636	0.687
AT1G25580	AT5G18640	0.6864
AT1G25580	AT5G19390	0.5945
AT1G25580	AT5G19630	0.9948
AT1G25580	AT5G19633	0.9942
AT1G25580	AT5G19850	0.5236
AT1G25580	AT5G19900	0.1466
AT1G25580	AT5G20320	0.2432
AT1G25580	AT5G20635	0.3869
AT1G25580	AT5G20850	0.8179
AT1G25580	AT5G20852	0.0029
AT1G25580	AT5G20900	0.5631
AT1G25580	AT5G22010	0.7906
AT1G25580	AT5G22020	0.2664
AT1G25580	AT5G22110	0.4852
AT1G25580	AT5G22540	0.7225
AT1G25580	AT5G22840	0.3386
AT1G25580	AT5G23100	0.4532
AT1G25580	AT5G23360	0.3828
AT1G25580	AT5G23390	0.5131
AT1G25580	AT5G23910	0.8336
AT1G25580	AT5G24100	0.8016
AT1G25580	AT5G24280	0.7248
AT1G25580	AT5G24318	0.3647
AT1G25580	AT5G24460	0.7871
AT1G25580	AT5G24520	0.2182
AT1G25580	AT5G24560	0.1187
AT1G25580	AT5G24670	0.1501
AT1G25580	AT5G25200	0.8249
AT1G25580	AT5G25230	0.3787
